observable,domain,geometry,numeric,value,target,residual_pct,status,owner_geometry,primary_source
BH_seed_mass,astro,qcalcgeom,symbolic,,56160.0,,GAP,d26,PAPER_1650
BH_seed_mass,astro,qcalcgeom,numerical,,56160.0,,GAP,d26,PAPER_1650
BH_seed_mass,astro,qcalcgeom,discrete,,56160.0,,GAP,d26,PAPER_1650
BH_seed_mass,astro,bsfg,symbolic,,56160.0,,GAP,d26,PAPER_1650
BH_seed_mass,astro,bsfg,numerical,,56160.0,,GAP,d26,PAPER_1650
BH_seed_mass,astro,bsfg,discrete,,56160.0,,GAP,d26,PAPER_1650
BH_seed_mass,astro,dpm,symbolic,,56160.0,,GAP,d26,PAPER_1650
BH_seed_mass,astro,dpm,numerical,,56160.0,,GAP,d26,PAPER_1650
BH_seed_mass,astro,dpm,discrete,,56160.0,,GAP,d26,PAPER_1650
BH_seed_mass,astro,d26,symbolic,56160,56160.0,0.000000,EXACT,d26,PAPER_1650
BH_seed_mass,astro,d26,numerical,56160,56160.0,0.000000,EXACT,d26,PAPER_1650
BH_seed_mass,astro,d26,discrete,56160,56160.0,0.000000,EXACT,d26,PAPER_1650
CM_Apery_zeta3,CM,qcalcgeom,symbolic,,1.2020569,,GAP,d26,PAPER_1167
CM_Apery_zeta3,CM,qcalcgeom,numerical,,1.2020569,,GAP,d26,PAPER_1167
CM_Apery_zeta3,CM,qcalcgeom,discrete,,1.2020569,,GAP,d26,PAPER_1167
CM_Apery_zeta3,CM,bsfg,symbolic,,1.2020569,,GAP,d26,PAPER_1167
CM_Apery_zeta3,CM,bsfg,numerical,,1.2020569,,GAP,d26,PAPER_1167
CM_Apery_zeta3,CM,bsfg,discrete,,1.2020569,,GAP,d26,PAPER_1167
CM_Apery_zeta3,CM,dpm,symbolic,,1.2020569,,GAP,d26,PAPER_1167
CM_Apery_zeta3,CM,dpm,numerical,,1.2020569,,GAP,d26,PAPER_1167
CM_Apery_zeta3,CM,dpm,discrete,,1.2020569,,GAP,d26,PAPER_1167
CM_Apery_zeta3,CM,d26,symbolic,1.2,1.2020569,0.171115,OK,d26,PAPER_1167
CM_Apery_zeta3,CM,d26,numerical,1.2,1.2020569,0.171115,OK,d26,PAPER_1167
CM_Apery_zeta3,CM,d26,discrete,1.2,1.2020569,0.171115,OK,d26,PAPER_1167
CM_BCS_coherence_length_coeff,CM,qcalcgeom,symbolic,,0.3183098861837907,,GAP,dpm,PAPER_1167
CM_BCS_coherence_length_coeff,CM,qcalcgeom,numerical,,0.3183098861837907,,GAP,dpm,PAPER_1167
CM_BCS_coherence_length_coeff,CM,qcalcgeom,discrete,,0.3183098861837907,,GAP,dpm,PAPER_1167
CM_BCS_coherence_length_coeff,CM,bsfg,symbolic,,0.3183098861837907,,GAP,dpm,PAPER_1167
CM_BCS_coherence_length_coeff,CM,bsfg,numerical,,0.3183098861837907,,GAP,dpm,PAPER_1167
