"ID","label","status","error_pct","predicted","observed","script","category","flag","priority","raw_output","verdict"
"270","M_Chandra","OK","127.577","","","_session270_271_calibrated_and_open.py","DERIVATION_FIRST_PRINCIPLES","HIGH_ERROR","P1","Wrote _session270_271_results.json","PARSER_BUG"
"293","Hubble tension is the K_Mex - 1","OK","2500.0","13","0.5","_session293_hubble_tension_split.py","DERIVATION_FIRST_PRINCIPLES","HIGH_ERROR","P1","========================================================================","PARSER_BUG"
"330","R_K UQFF","OK","235.8305084745763","0.9907","0.295","_session330_sm_flavor.py","DERIVATION_FIRST_PRINCIPLES","HIGH_ERROR","P1","S330 COMPLETE. R_K UQFF = 1 - 1/108 = 0.9907 (obs 0.949+/-0.047 LHCb 2022); R_D* UQFF = 0.2940 (obs ~0.295).","PARSER_BUG"
"337","Inflation e-folds N_e","OK","197.5","58.5","-60","_session337_cosmo_inflation.py","DERIVATION_FIRST_PRINCIPLES","HIGH_ERROR","P1","S337 COMPLETE. Inflation e-folds N_e = N_ch*D_crit/4 = 58.5; observed CMB-pivot value = 50-60; match.","PARSER_BUG"
"351","n_periods_stable","OK","94.0677966101695","7","118","_session351_chem_periodic_table.py","DERIVATION_FIRST_PRINCIPLES","HIGH_ERROR","P1","S351 COMPLETE. n_periods_stable = D_BSFG + 1 = 7; matches periodic table (1..7); Madelung n+l rule from N_ch = 9 angular channels; period 8 destabilized by relativistic + alpha-decay (Z > 118 observed).","PARSER_BUG"
"352","E_ion(H)","OK","33.458823529411774","13.6128","10.20","_session352_chem_h_ionization.py","DERIVATION_FIRST_PRINCIPLES","HIGH_ERROR","P1","S352 COMPLETE. E_ion(H) = R_y = 13.6128 eV (obs 13.6057); E_Lyman = 3/4 R_y = 10.2096 eV (obs 10.20); E_Balmer = 5/36 R_y = 1.8907 eV (obs 1.89); all chain from S343 alpha.","PARSER_BUG"
"739","classXVI_beta_s_canonical_recursion","OK","240.1361","-1.458333e-04","-4.287500e-05","_session739_R_xi_classXVIII_OmegaLambda_betas.py","CALIBRATION_FROM_PARAMETERS","HIGH_ERROR","P1","Artifact written: C:/Users/tmsjd/source/repos/Daniel8Murphy0007/Star-Magic/_session739_R_xi_classXVIII_OmegaLambda_betas_result.json","PARSER_BUG"
"760","classL_A_s_session760","OK","100.0","0.000000e+00","2.100000e-09","_session760_Och2_mnu_As.py","CALIBRATION_FROM_PARAMETERS","HIGH_ERROR","P1","Artifact: C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session760_result.json","OPEN_PLACEHOLDER"
"764","classLXII_eta_b_session764","OK","100.0","0.000000e+00","6.140000e-10","_session764_crossval_omnu_zBAO_etab.py","CALIBRATION_FROM_PARAMETERS","HIGH_ERROR","P1","Artifact: C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session764_result.json","OPEN_PLACEHOLDER"
"805","Delta_M_np","OK","28.72","","","_chain_trace_np_split.py","","HIGH_ERROR","P1","==============================================================================","NOT_A_CLOSURE"
"801","chain_trace_C","PARSE_FAIL","","","","_chain_trace_C.py","","PARSE_FAIL","P2","Step 8  g_Newton     = 1.7637e-07 m/s^2  [LAST]","PARSER_GAP"
"802","chain_trace_C_particles","PARSE_FAIL","","","","_chain_trace_C_particles.py","","PARSE_FAIL","P2","================================================================================","PARSER_GAP"
"804","chain_trace_fix56_7_910","PARSE_FAIL","","","","_chain_trace_fix56_7_910.py","","PARSE_FAIL","P2","All checks PASSED.  Exit code 0.","PARSER_GAP"
"807","constant_derivation_attempt","PARSE_FAIL","","","","_constant_derivation_attempt.py","","PARSE_FAIL","P2","appear to derive their absolute SI values from purely internal axioms.","PARSER_GAP"
"808","constant_derivation_v2","PARSE_FAIL","","","","_constant_derivation_v2.py","","PARSE_FAIL","P2","=>  h = alpha_uqff * E0 / f = 4.8971e-35  (obs=6.6261e-34, log_off=-1.131)","PARSER_GAP"
"810","K_Mex_REAL_derivation","PARSE_FAIL","","","","_K_Mex_REAL_derivation.py","","PARSE_FAIL","P2","======================================================================","PARSER_GAP"
"812","PAPER_1065_1066_variational_audit","PARSE_FAIL","","","","_PAPER_1065_1066_variational_audit.py","","PARSE_FAIL","P2","that cites PAPER_1065 as variational origin inherits this gap.","PARSER_GAP"
"813","PAPER_1183_first_principles_derivation","PARSE_FAIL","","","","_PAPER_1183_first_principles_derivation.py","","PARSE_FAIL","P2","The variational machinery itself is now first-principles verified.","PARSER_GAP"
"815","bsm_bounds_derivation","PARSE_FAIL","","","","bsm_bounds_derivation.py","","PARSE_FAIL","P2","✓ BSM mass bound derivation complete","PARSER_GAP"
"816","buoyancy_lagrangian_eom","PARSE_FAIL","","","","buoyancy_lagrangian_eom.py","","PARSE_FAIL","P2","========================================================================","PARSER_GAP"
"818","first_principles_derivation","PARSE_FAIL","","","","first_principles_derivation.py","","PARSE_FAIL","P2","next genuine first-principles target.","PARSER_GAP"
"819","lagrangian_re_runner","PARSE_FAIL","","","","lagrangian_re_runner.py","","PARSE_FAIL","P2","================================================================================","PARSER_GAP"
"822","uqff_lagrangian_derivation","PARSE_FAIL","","","","uqff_lagrangian_derivation.py","","PARSE_FAIL","P2","==============================================================================","PARSER_GAP"
"824","variational_reversal_condition","PARSE_FAIL","","","","variational_reversal_condition.py","","PARSE_FAIL","P2","}","PARSER_GAP"
"829","lambda_closure_v1","PARSE_FAIL","","","","_lambda_closure_v1.py","","PARSE_FAIL","P2","Test C from AXIOMS Theorem 6 → CLOSED parameter-free.","PARSER_GAP"
