"ID","flag","script","status","exit_code","first_line","last_line"
"270","HIGH_ERROR","_session270_271_calibrated_and_open.py","RAN_OK","0","======================================================================== ","Wrote _session270_271_results.json "
"293","HIGH_ERROR","_session293_hubble_tension_split.py","RAN_OK","0","======================================================================== ","======================================================================== "
"330","HIGH_ERROR","_session330_sm_flavor.py","RAN_OK","0","S"," "
"337","HIGH_ERROR","_session337_cosmo_inflation.py","RAN_OK","0","S"," "
"351","HIGH_ERROR","_session351_chem_periodic_table.py","RAN_OK","0","S"," "
"352","HIGH_ERROR","_session352_chem_h_ionization.py","RAN_OK","0","S"," "
"739","HIGH_ERROR","_session739_R_xi_classXVIII_OmegaLambda_betas.py","RAN_OK","0","================================================================================ ","Artifact written: C:/Users/tmsjd/source/repos/Daniel8Murphy0007/Star-Magic/_session739_R_xi_classXVIII_OmegaLambda_betas_result.json "
"760","HIGH_ERROR","_session760_Och2_mnu_As.py","RAN_OK","0","================================================================================ ","Artifact: C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session760_result.json "
"764","HIGH_ERROR","_session764_crossval_omnu_zBAO_etab.py","RAN_OK","0","================================================================================ ","Artifact: C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session764_result.json "
"805","HIGH_ERROR","_chain_trace_np_split.py","RAN_OK","0","============================================================================== ","============================================================================== "
"801","PARSE_FAIL","_chain_trace_C.py","EXCEPTION","","Exception calling ""Substring"" with ""2"" argument(s): ""Index and length must refer to a location within the string.
Parameter name: length""",""
"802","PARSE_FAIL","_chain_trace_C_particles.py","RAN_OK","0","================================================================================ ","================================================================================ "
"804","PARSE_FAIL","_chain_trace_fix56_7_910.py","EXCEPTION","","Exception calling ""Substring"" with ""2"" argument(s): ""Index and length must refer to a location within the string.
Parameter name: length""",""
"807","PARSE_FAIL","_constant_derivation_attempt.py","RAN_OK","0","============================================================================== ","appear to derive their absolute SI values from purely internal axioms. "
"808","PARSE_FAIL","_constant_derivation_v2.py","EXCEPTION","","Exception calling ""Substring"" with ""2"" argument(s): ""Index and length must refer to a location within the string.
Parameter name: length""",""
"810","PARSE_FAIL","_K_Mex_REAL_derivation.py","RAN_OK","0","====================================================================== ","====================================================================== "
"812","PARSE_FAIL","_PAPER_1065_1066_variational_audit.py","EXCEPTION","","Exception calling ""Substring"" with ""2"" argument(s): ""Index and length must refer to a location within the string.
Parameter name: length""",""
"813","PARSE_FAIL","_PAPER_1183_first_principles_derivation.py","RAN_OK","0","============================================================================== ","The variational machinery itself is now first-principles verified. "
"815","PARSE_FAIL","bsm_bounds_derivation.py","RAN_OK","0","======================================================================== ","Γ£ô BSM mass bound derivation complete "
"816","PARSE_FAIL","buoyancy_lagrangian_eom.py","RAN_OK","0","======================================================================== ","======================================================================== "
"818","PARSE_FAIL","first_principles_derivation.py","EXIT_1","1","============================================================================== ","next genuine first-principles target. "
"819","PARSE_FAIL","lagrangian_re_runner.py","RAN_OK","0","================================================================================ ","================================================================================ "
"822","PARSE_FAIL","uqff_lagrangian_derivation.py","RAN_OK","0","============================================================================== ","============================================================================== "
"824","PARSE_FAIL","variational_reversal_condition.py","RAN_OK","0","======================================================================== ","} "
"829","PARSE_FAIL","_lambda_closure_v1.py","RAN_OK","0","Session 242 ΓÇö ╬¢ closure verification ","Test C from AXIOMS Theorem 6 ΓåÆ CLOSED parameter-free. "
