session,ledger_closures,primitive_decls,in_ledger_only,in_primitives_only,both,primitives_declared,ledger_scripts
201,1,0,1,0,0,,_session201_closures.py
202,1,1,0,0,1,SSQ,_session202_closures.py
203,1,0,1,0,0,,_session203_closures.py
204,1,0,1,0,0,,_session204_closures.py
205,1,1,0,0,1,SSQ,_session205_closures.py
206,1,0,1,0,0,,_session206_qcalcgeom_ubs_closures.py
207,1,0,1,0,0,,_session207_cp_chain_closures.py
208,1,1,0,0,1,D_PHYS,_session208_wolfram_kb_primitives.py
209,1,0,1,0,0,,_session209_nuclear_resonance_primitives.py
210,1,6,0,0,1,BETA_I;D_CRIT;F_TRZ;N_CH;PHI_RES;SSQ,_session210_closures.py
211,1,4,0,0,1,BETA_I;F_TRZ;PHI_RES;SSQ,_session211_closures.py
261,2,5,0,0,1,D_PHYS;F_TRZ;RHO_VAC_UA;V_SCM,_session261_audit.py;_session261_closures.py
262,1,8,0,0,1,D_BSFG;D_CRIT;D_PHYS;F_TRZ;K_MEX;PHI_RES;RHO_VAC_UA;V_SCM,_session262_closures.py
263,1,9,0,0,1,D_BSFG;D_CRIT;D_PHYS;F_TRZ;K_MEX;PHI_RES;RHO_VAC_UA;SSQ;V_SCM,_session263_closures.py
264,1,5,0,0,1,D_BSFG;D_CRIT;D_PHYS;RHO_VAC_UA;V_SCM,_session264_closures.py
265,1,9,0,0,1,D_BSFG;D_CRIT;D_PHYS;F_TRZ;K_MEX;PHI_RES;RHO_VAC_UA;SSQ;V_SCM,_session265_grok_rebuttals.py
266,1,9,0,0,1,D_BSFG;D_CRIT;D_PHYS;F_TRZ;PHI_RES;RHO_VAC_SCM;RHO_VAC_UA;SSQ;V_SCM,_session266_root_closure.py
267,1,10,0,0,1,D_BSFG;D_CRIT;D_PHYS;F_TRZ;K_MEX;N_CH;PHI_RES;RHO_VAC_UA;SSQ;V_SCM,_session267_extended_closures.py
