script,count,status_breakdown
,26,OK=8;CE_strict=6;EXACT=6;OPEN_PREDICTIONS=4;CE=2
_session785_PMNS_solar_reactor_CV18.py,5,EXACT=3;OK=1;candidate_EXACT=1
_session201_closures.py,1,OK=1
_session202_closures.py,1,OK=1
_session203_closures.py,1,OK=1
_session204_closures.py,1,OK=1
_session205_closures.py,1,OK=1
_session206_qcalcgeom_ubs_closures.py,1,OK=1
_session207_cp_chain_closures.py,1,OK=1
_session208_wolfram_kb_primitives.py,1,OK=1
_session209_nuclear_resonance_primitives.py,1,OK=1
_session210_closures.py,1,OK=1
_session211_closures.py,1,OK=1
_session261_audit.py,1,OK_JSON=1
_session261_closures.py,1,OK=1
_session262_closures.py,1,OK=1
_session263_closures.py,1,OK=1
_session264_closures.py,1,OK=1
_session265_grok_rebuttals.py,1,OK=1
_session266_root_closure.py,1,OK=1
_session267_extended_closures.py,1,OK=1
_session268_gap_closures.py,1,OK=1
_session269_full_cascade.py,1,OK_JSON=1
_session270_271_calibrated_and_open.py,1,OK=1
_session272_forward_predictions.py,1,OK_JSON=1
_session273_lambda_hierarchy.py,1,OK=1
_session274_beta_lambda_closure.py,1,OK=1
_session275_mp_planck_closure.py,1,OK=1
_session276_chandrasekhar_closure.py,1,OK=1
_session277_beta_i_hunt.py,1,OK=1
_session277_uqff_gap_patches.py,1,OK=1
_session278_dpm_layer_counter.py,1,OK=1
_session278_me_closure.py,1,OK=1
_session279_mu_tau_closure.py,1,OK=1
_session279_um_heaviside_amplifier.py,1,OK=1
_session280_286_frontier_harvester.py,1,OK=1
_session280_ftrz_suppression.py,1,OK=1
_session280_quark_closure.py,1,OK_JSON=1
_session280_verify.py,1,OK=1
_session281_neutrino_hunt.py,1,OK=1
_session281_verify.py,1,OK=1
_session282_alma_molecular_gas.py,1,OK=1
_session282_newton_G_closure.py,1,OK=1
_session283_finetune.py,1,OK=1
_session283_gw190425_bayesian.py,1,OK=1
_session283_verify.py,1,OK=1
_session284_seesaw_MR.py,1,OK=1
_session284_snr_shock_velocity.py,1,OK=1
_session285_CKM_closure.py,1,OK=1
_session285_p_vs_np_conjecture_tag.py,1,OK=1
_session286_PMNS_closure.py,1,OK=1
_session286_tde_mass_rate.py,1,OK=1
_session287_proton_radius_higgs.py,1,OK=1
_session287_rho_vac_scm_derivation_chain.py,1,OK=1
_session288_gauge_couplings.py,1,OK=1
_session288_universal_buoyancy_simultaneous_solver.py,1,OK=1
_session289_cosmology.py,1,OK=1
_session289_dpm_foundational_kernel.py,1,OK=1
_session290_dark_sector_inflation.py,1,OK=1
_session290_field_generator_lab_plasma_validation.py,1,OK=1
_session291_muon_g2.py,1,OK=1
_session291_orion_h2o_ice_formation_rate.py,1,OK=1
_session292_chandra_flux_to_param.py,1,OK=1
_session292_cosmological_constant.py,1,OK=1
_session293_hubble_tension_split.py,1,OK=1
_session293_neutrino_gw_coupling.py,1,OK=1
_session294_high_z_quasar_batch.py,1,OK=1
_session294_neutron_lifetime.py,1,OK=1
_session295_cooling_flow_mass_accretion.py,1,OK=1
_session295_lithium7_problem.py,1,OK=1
_session296_302_millennium_harvester.py,1,OK=1
_session296_magnetar_thermal_coupling.py,1,OK=1
_session296_millennium_poincare_perelman.py,1,OK=1
_session297_millennium_riemann.py,1,OK=1
_session297_orion_habitable_zone.py,1,OK=1
_session298_alma_molecular_gas.py,1,OK=1
_session298_millennium_p_vs_np.py,1,OK=1
_session299_gw190425_mass_gap_errors.py,1,OK=1
_session299_millennium_yang_mills.py,1,OK=1
_session300_millennium_navier_stokes.py,1,OK=1
_session300_snr_shock_velocity.py,1,OK=1
_session301_millennium_hodge.py,1,OK=1
_session301_pnp_conjecture_anchor.py,1,OK=1
_session302_millennium_bsd.py,1,OK=1
_session302_tde_rate_mass.py,1,OK=1
