observable,domain,owner_geometry,qg_sym,qg_num,qg_dis,bsfg_sym,bsfg_num,bsfg_dis,dpm_sym,dpm_num,dpm_dis,d26_sym,d26_num,d26_dis,owner_N,total_N,primary_source
BH_seed_mass,astro,d26,,,,,,,,,,EXACT,EXACT,EXACT,3,3,PAPER_1650
CM_Apery_zeta3,CM,d26,,,,,,,,,,0.1711%,0.1711%,0.1711%,3,3,PAPER_1167
CM_BCS_coherence_length_coeff,CM,dpm,,,,,,,0.2125%,0.2125%,0.2125%,,,,3,3,PAPER_1167
CM_BCS_gap_ratio,CM,dpm,,,,,,,0.3496%,0.3496%,0.3496%,,,,3,3,PAPER_1167
CM_BCS_isotope_alpha,CM,dpm,,,,,,,EXACT,EXACT,EXACT,,,,3,3,PAPER_1167
CM_BEC_Tc_coeff,CM,dpm,,,,,,,0.3774%,0.3774%,0.3774%,,,,3,3,PAPER_1167
CM_Brinkman_Rice_U_c_W,CM,dpm,,,,,,,EXACT,EXACT,EXACT,,,,3,3,PAPER_1167
CM_Sommerfeld_Wilson_R_W,CM,dpm,,,,,,,EXACT,EXACT,EXACT,,,,3,3,PAPER_1167
CM_Wiedemann_Franz_L_coeff,CM,dpm,,,,,,,0.2978%,0.2978%,0.2978%,,,,3,3,PAPER_1167
CM_XY_3D_nu_exponent,CM,bsfg,,,,EXACT,EXACT,EXACT,,,,,,,3,3,PAPER_1167
CM_log_R_K_von_Klitzing,CM,dpm,,,,,,,0.3286%,0.3286%,0.3286%,,,,3,3,PAPER_1167
Clifford_qualia_states,SM,d26,,,,,,,,,,EXACT,EXACT,EXACT,3,3,PAPER_1666
GR_BH_shadow_r_M,GR,bsfg,,,,0.0539%,0.0539%,0.0539%,,,,,,,3,3,PAPER_1149
GR_GPB_frame_drag,GR,bsfg,,,,0.0850%,0.0850%,0.0850%,,,,,,,3,3,PAPER_1149
GR_GPB_geodetic,GR,bsfg,,,,0.0399%,0.0399%,0.0399%,,,,,,,3,3,PAPER_1149
GR_Hulse_Taylor_ratio,GR,bsfg,,,,0.0502%,0.0502%,0.0502%,,,,,,,3,3,PAPER_1149
GR_Kerr_ISCO_extremal,GR,bsfg,,,,EXACT,EXACT,EXACT,,,,,,,3,3,PAPER_1149
GR_Mercury_perihelion,GR,bsfg,,,,0.0136%,0.0136%,0.0136%,,,,,,,3,3,PAPER_1149
GR_NANOGrav_h_c,GR,qcalcgeom,0.0278%,0.0278%,0.0278%,,,,,,,,,,3,3,PAPER_1149
GR_Shapiro_delay_coeff,GR,bsfg,,,,EXACT,EXACT,EXACT,,,,,,,3,3,PAPER_1149
GR_light_bending_solar_limb,GR,bsfg,,,,0.0666%,0.0666%,0.0666%,,,,,,,3,3,PAPER_1149
GR_photon_sphere_r_M,GR,bsfg,,,,EXACT,EXACT,EXACT,,,,,,,3,3,PAPER_1149
GW_memory_fraction,astro,qcalcgeom,0.0166%,0.0166%,0.0166%,,,,,,,,,,3,3,PAPER_1766
ITER_R_over_a,SI,bsfg,,,,EXACT,EXACT,EXACT,,,,,,,3,3,PAPER_1706
KK_AU_per_1e10_m,KK,dpm,,,,,,,0.3741%,0.3741%,0.3741%,,,,3,3,PAPER_1167
KK_Earth_orbit_v_per_km_s,KK,dpm,,,,,,,0.2069%,0.2069%,0.2069%,,,,3,3,PAPER_1167
KK_Earth_radius_per_1e6_m,KK,qcalcgeom,0.1179%,0.1179%,0.1179%,,,,,,,,,,3,3,PAPER_1167
KK_Jupiter_mass_per_1e27_kg,KK,qcalcgeom,0.3468%,0.3468%,0.3468%,,,,,,,,,,3,3,PAPER_1167
KK_Mars_orbit_AU,KK,qcalcgeom,0.2293%,0.2293%,0.2293%,,,,,,,,,,3,3,PAPER_1167
