file,line,primitive,raw_value,literal_form,scope
_session202_closures.py,105,SSQ,0.57,0.57,class_or_func
_session205_closures.py,31,SSQ,0.57,0.57,module
_session208_wolfram_kb_primitives.py,91,D_PHYS,26 - 22,4,module
_session210_closures.py,61,F_TRZ,"Fraction(1, 10)","Fraction(1, 10)",module
_session210_closures.py,62,PHI_RES,"Fraction(5, 6)","Fraction(5, 6)",module
_session210_closures.py,63,SSQ,"Fraction(57, 100)","Fraction(57, 100)",module
_session210_closures.py,64,N_CH,9,9,module
_session210_closures.py,65,D_CRIT,26,26,module
_session210_closures.py,66,BETA_I,"Fraction(6029, 10000)","Fraction(6029, 10000)",module
_session211_closures.py,32,SSQ,0.57,0.57,module
_session211_closures.py,34,F_TRZ,0.10,0.1,module
_session211_closures.py,35,PHI_RES,5.0 / 6.0,0.8333333333333334,module
_session211_closures.py,36,BETA_I,0.6029,0.6029,module
_session261_closures.py,81,RHO_VAC_UA,"7.09e-36).  This is a structural bound,",7.09e-36).  This is a structural bound,nested_24
_session261_closures.py,101,RHO_VAC_UA,7.09e-36,7.09e-36,module
_session261_closures.py,105,V_SCM,1.0e8,100000000.0,module
_session261_closures.py,121,F_TRZ,0.1,0.1,module
_session261_closures.py,122,D_PHYS,4.0,4.0,module
_session262_closures.py,119,RHO_VAC_UA,7.09e-36,7.09e-36,module
_session262_closures.py,123,V_SCM,1.0e8,100000000.0,module
_session262_closures.py,150,F_TRZ,0.1,0.1,module
_session262_closures.py,151,D_CRIT,26.0,26.0,module
_session262_closures.py,152,D_BSFG,6.0,6.0,module
_session262_closures.py,153,D_PHYS,4.0,4.0,module
_session262_closures.py,157,K_MEX,25.0 / 12.0,2.0833333333333335,module
_session262_closures.py,158,PHI_RES,5.0 / 6.0,0.8333333333333334,module
_session263_closures.py,84,RHO_VAC_UA,7.09e-36,7.09e-36,module
_session263_closures.py,88,V_SCM,1.0e8,100000000.0,module
_session263_closures.py,97,D_CRIT,26.0,26.0,module
_session263_closures.py,98,D_BSFG,6.0,6.0,module
_session263_closures.py,99,D_PHYS,4.0,4.0,module
_session263_closures.py,100,F_TRZ,0.1,0.1,module
_session263_closures.py,104,K_MEX,25.0 / 12.0,2.0833333333333335,module
_session263_closures.py,105,PHI_RES,5.0 / 6.0,0.8333333333333334,module
_session263_closures.py,107,SSQ,0.57,0.57,module
_session264_closures.py,69,RHO_VAC_UA,7.09e-36,7.09e-36,module
_session264_closures.py,72,V_SCM,1.0e8,100000000.0,module
