file,BETA_I,D_BSFG,D_CRIT,D_PHYS,F_TRZ,H_SCM,KAPPA,K_MEX,N_CH,ORD_SO5,PHI_RES,RHO_VAC_SCM,RHO_VAC_UA,SSQ,V_SCM
_session202_closures.py,,,,,,,,,,,,,,0.57,
_session205_closures.py,,,,,,,,,,,,,,0.57,
_session208_wolfram_kb_primitives.py,,,,4,,,,,,,,,,,
_session210_closures.py,"Fraction(6029, 10000)",,26,,"Fraction(1, 10)",,,,9,,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session211_closures.py,0.6029,,,,0.1,,,,,,0.8333333333333334,,,0.57,
_session261_closures.py,,,,4.0,0.1,,,,,,,,CONFLICT[7.09e-36).  This is a structural boundx1|7.09e-36x1],,100000000.0
_session262_closures.py,,6.0,26.0,4.0,0.1,,,2.0833333333333335,,,0.8333333333333334,,7.09e-36,,100000000.0
_session263_closures.py,,6.0,26.0,4.0,0.1,,,2.0833333333333335,,,0.8333333333333334,,7.09e-36,0.57,100000000.0
_session264_closures.py,,6.0,26.0,4.0,,,,,,,,,7.09e-36,,100000000.0
_session265_grok_rebuttals.py,,6.0,26.0,4.0,0.1,,,2.0833333333333335,,,0.8333333333333334,,7.09e-36,0.57,100000000.0
_session266_root_closure.py,,6,26,4,0.1,,,,,,0.8333333333333334,7.09e-37,7.09e-36,0.57,100000000.0
_session267_extended_closures.py,,6,26,4,0.1,,,2.0833333333333335,9,,0.8333333333333334,,7.09e-36,0.57,100000000.0
_session268_gap_closures.py,,6,26,4,0.1,,,2.0833333333333335,9,10,0.8333333333333334,7.09e-37,7.09e-36,0.57,100000000.0
_session269_full_cascade.py,,,,,,,,,,,,7.09e-37,7.09e-36,0.57,100000000.0
_session270_271_calibrated_and_open.py,0.603          (buoyancy fraction),,,,,0.99           (Heaviside SCm factor),,25/12          (Mexican-hat coupling),,,5/6            (resonance phase),,,0.57           (super-spin coupling),
_session272_forward_predictions.py,,,,,,,,,,,,7.09e-37,7.09e-36,,
_session273_lambda_hierarchy.py,,6,26,4,CONFLICT[0.1x1|0.1.x1],,,2.0833333333333335,9,,0.8333333333333334,7.09e-37,7.09e-36,0.57,
_session274_beta_lambda_closure.py,CONFLICT[0.603  (marked OPEN in S270 as 'non-structural multiplier')x1|-log10(rho_Lambda_obs / rho_Planck) - 123 ) / F_TRZx1],,,,0.1,,,,,,,,,0.57,
_session275_mp_planck_closure.py,0.603,,,,0.1,,,,,,,,,0.57,
_session276_chandrasekhar_closure.py,,,,,0.1,,,,,,,,,0.57,
_session277_uqff_gap_patches.py,0.603,,,,,0.99,0.0005,,,,,7.09e-37,7.09e-36,0.57,
_session278_dpm_layer_counter.py,0.603,,,,,,,,,,,,,0.57,
_session278_me_closure.py,1/4 + math.exp(-25/24),,,,0.1,,,2.0833333333333335,,,0.8333333333333334,,,0.57,
_session279_mu_tau_closure.py,1/4 + math.exp(-25/24),,,,,,,,,,,,,,
_session280_quark_closure.py,1/D_phys + math.exp(-K_Mex/2),6,26,4,0.1,,,2.0833333333333335,9,,0.8333333333333334,,,0.57,
_session280_verify.py,,,,,0.1,,,2.0833333333333335,,,0.8333333333333334,,,0.57,
_session281_neutrino_hunt.py,1/D_phys + math.exp(-K_Mex/2),,,,0.1,,,2.0833333333333335,,,0.8333333333333334,,,0.57,
_session281_verify.py,,,,,0.1,,,2.0833333333333335,,,,,,,
_session282_newton_G_closure.py,,,,,0.1,,,,,,,,,0.57,
_session283_finetune.py,1/D_phys + math.exp(-K_Mex/2),,,,0.1,,,2.0833333333333335,,,0.8333333333333334,,,0.57,
_session283_verify.py,1/D_phys + math.exp(-K_Mex/2),,,,0.1,,,2.0833333333333335,,,0.8333333333333334,,,0.57,
_session284_seesaw_MR.py,1/D_phys + math.exp(-K_Mex/2),,,,0.1,,,2.0833333333333335,,,,,,0.57,
_session285_CKM_closure.py,,,,,0.1,,,2.0833333333333335,,,0.8333333333333334,,,0.57,
_session286_PMNS_closure.py,1/D_phys + math.exp(-K_Mex/2),,,,0.1,,,2.0833333333333335,,,0.8333333333333334,,,0.57,
