quantity,origin,kind,canonical_route,formula,value,reference,residual_pct,sector,phi_variant,paper_source,confirmations,py_sites,cpp_sites,lean_sites,corpus_citations,status
100_s_ledger_scaling,dispatch,closure,,,'',,,,,PAPER_1254,0,_l96_uqff_axiom_paper_1254_100_s_ledger_scaling_closure,k_100_s_ledger_scaling,,13,derived
26_level_energy_ladder,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_E_n_polynomial_hierarchy_closure,,,,derived
2_pow_d_bsfg_lenr_composition,dispatch,closure,,,64.0,,,,,PAPER_2012,0,_l96_uqff_paper_2012_2_pow_d_bsfg_lenr_composition_closure,,,8,derived
30_kpc_cross_object_radius_primitive_lock,dispatch,closure,,,30.0,,,,,PAPER_2002,0,_l96_uqff_paper_2002_30_kpc_cross_object_radius_primitive_lock_closure,,,13,derived
46_d_crit_plus_2_so_5_cross_domain_twin,dispatch,closure,,,46.0,,,,,PAPER_2011,0,_l96_uqff_paper_2011_46_d_crit_plus_2_so_5_cross_domain_twin_closure,,,10,derived
a5_kmex_125_exact,dispatch,closure,,,125.0,,,,,PAPER_1954,0,_l96_uqff_paper_1954_a5_kmex_125_exact_closure,,,13,derived
a5_over_dphys_15_cross_domain,dispatch,closure,,,15,,,,,PAPER_1971,0,_l96_uqff_paper_1971_a5_over_dphys_15_cross_domain_closure,,,15,derived
a5_plus_so5_h0,dispatch,closure,PAPER_2093 grid (2.27e-18 = observed local anchor; residual = Hubble tension per PAPER_2125),,70,,,,,PAPER_1931,0,_l96_uqff_paper_1931_a5_plus_so5_h0_closure,,,18,derived
a_5_over_d_phys_15_4th_instance_gev_energy,dispatch,closure,,,15.0,,,,,PAPER_2008,0,_l96_uqff_paper_2008_a_5_over_d_phys_15_4th_instance_gev_energy_closure,,,4,derived
a_dpm_ngc6302_so_5_neg_20_acceleration_domain,dispatch,closure,,,1e-20,,,,,PAPER_2025,0,_l96_uqff_paper_2025_a_dpm_ngc6302_so_5_neg_20_acceleration_domain_closure,,,21,derived
a_spin_3c273_quasar_1_minus_f_trz_over_2_half_factor_complement_kerr_6th_sub_family,dispatch,closure,,,0.95,,,,,PAPER_2058,0,_l96_uqff_paper_2058_a_spin_3c273_quasar_1_minus_f_trz_over_2_half_factor_complement_kerr_6th_sub_family_closure,,,9,derived
a_spin_cena_1_minus_3_f_trz_integer_multiple_complement_kerr_7th_sub_family,dispatch,closure,,,0.7,,,,,PAPER_2059,0,_l96_uqff_paper_2059_a_spin_cena_1_minus_3_f_trz_integer_multiple_complement_kerr_7th_sub_family_closure,,,6,derived
a_spin_m87_one_minus_f_trz_kerr_dimensional_extension,dispatch,closure,,,0.9,,,,,PAPER_2049,0,_l96_uqff_paper_2049_a_spin_m87_one_minus_f_trz_kerr_dimensional_extension_closure,,,8,derived
a_spin_ton618_1_minus_2_f_trz_3_higher_power_complement_kerr_8th_sub_family,dispatch,closure,,,0.998,,,,,PAPER_2060,0,_l96_uqff_paper_2060_a_spin_ton618_1_minus_2_f_trz_3_higher_power_complement_kerr_8th_sub_family_closure,,,10,derived
a_vort_pi_so_5_8_canonical_anchored_pi_sub_family_3rd_sub_family_new,dispatch,closure,,,314200000.0,,,,,PAPER_2072,0,_l96_uqff_paper_2072_a_vort_pi_so_5_8_canonical_anchored_pi_sub_family_3rd_sub_family_new_closure,,,5,derived
abc,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_abc_conjecture_closure,,,,derived
abiogenesis,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_origin_of_life_abiogenesis_closure,,,,derived
achilles_tortoise,dispatch,closure,,,1.0,,,,,,1,_l96_uqff_axiom_zeno_classical_closure,,,,derived
action_principle,dispatch,closure,,,0.0,,,,,,0,_l96_uqff_axiom_action_principle_closure,,,,derived
active_matter,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_active_matter_closure,,,,derived
additive_combination_architectural_category_3rd_uqff_taxonomy_sum_form_primitive_a_plus_primitive_b,dispatch,closure,,,3,,,,,PAPER_2062,0,_l96_uqff_paper_2062_additive_combination_architectural_category_3rd_uqff_taxonomy_sum_form_primitive_a_plus_primitive_b_closure,,,17,derived
additive_combination_class_population_15_plus_instances_10_plus_regimes_retrospective_audit,dispatch,closure,,,15,,,,,PAPER_2063,0,_l96_uqff_paper_2063_additive_combination_class_population_15_plus_instances_10_plus_regimes_retrospective_audit_closure,,,9,derived
additive_combination_cross_scale_universality_atomic_to_cosmological_40_orders_of_magnitude,dispatch,closure,,,40,,,,,PAPER_2063,0,_l96_uqff_paper_2063_additive_combination_cross_scale_universality_atomic_to_cosmological_40_orders_of_magnitude_closure,,,9,derived
additive_combination_term_count_taxonomy_2_3_4_5_term_5_term_alpha_inverse_deepest,dispatch,closure,,,5,,,,,PAPER_2063,0,_l96_uqff_paper_2063_additive_combination_term_count_taxonomy_2_3_4_5_term_5_term_alpha_inverse_deepest_closure,alpha_inverse,,9,derived
additive_scaled_4_sub_family_taxonomy_2_primitive_3_term_ratio_cross_product_geometric,dispatch,closure,,,4,,,,,PAPER_2076,0,_l96_uqff_paper_2076_additive_scaled_4_sub_family_taxonomy_2_primitive_3_term_ratio_cross_product_geometric_closure,,,3,derived
additive_scaled_category_cross_scale_63_orders_of_magnitude_largest_uqff_span,dispatch,closure,,,63,,,,,PAPER_2075,0,_l96_uqff_paper_2075_additive_scaled_category_cross_scale_63_orders_of_magnitude_largest_uqff_span_closure,,,4,derived
additive_scaled_class_population_8_instances_across_4_domains_dedicated_audit,dispatch,closure,,,8,,,,,PAPER_2076,0,_l96_uqff_paper_2076_additive_scaled_class_population_8_instances_across_4_domains_dedicated_audit_closure,,,3,derived
