paper,cited_by_files
PAPER_001,36
PAPER_0010,1
PAPER_0011,1
PAPER_002,3
PAPER_003,5
PAPER_004,2
PAPER_005,1
PAPER_006,4
PAPER_007,5
PAPER_008,4
PAPER_009,7
PAPER_010,3
PAPER_011,7
PAPER_012,2
PAPER_013,7
PAPER_014,4
PAPER_015,2
PAPER_016,2
PAPER_017,3
PAPER_018,3
PAPER_019,4
PAPER_0190,1
PAPER_020,3
PAPER_021,1
PAPER_022,2
PAPER_023,3
PAPER_0230,1
PAPER_024,2
PAPER_025,3
PAPER_026,5
PAPER_027,2
PAPER_028,2
PAPER_029,3
PAPER_030,3
PAPER_031,1
PAPER_032,2
PAPER_033,1
PAPER_034,2
PAPER_035,1
PAPER_036,4
PAPER_0360,1
PAPER_037,2
PAPER_038,10
PAPER_039,1
PAPER_040,4
PAPER_041,3
PAPER_042,2
PAPER_043,6
PAPER_0430,1
PAPER_044,5
PAPER_045,1
PAPER_046,3
PAPER_047,3
PAPER_048,2
PAPER_049,4
PAPER_050,5
PAPER_051,2
PAPER_0510,1
PAPER_052,1
PAPER_053,1
PAPER_054,1
PAPER_055,3
PAPER_056,1
PAPER_057,2
PAPER_058,2
PAPER_059,2
PAPER_060,3
PAPER_061,1
PAPER_062,41
PAPER_063,8
PAPER_064,6
PAPER_065,2
PAPER_066,8
PAPER_067,8
PAPER_068,1
PAPER_069,3
PAPER_070,5
PAPER_071,1
PAPER_072,2
PAPER_073,2
PAPER_074,1
PAPER_075,2
PAPER_076,2
PAPER_077,1
PAPER_078,1
PAPER_079,1
PAPER_080,1
PAPER_081,1
PAPER_0810,1
PAPER_082,1
PAPER_083,1
PAPER_084,1
PAPER_085,2
PAPER_086,5
PAPER_087,5
PAPER_088,4
PAPER_089,5
PAPER_090,9
PAPER_0900,1
PAPER_091,5
PAPER_092,3
PAPER_093,4
PAPER_094,5
PAPER_095,1
PAPER_096,3
PAPER_097,1
PAPER_098,2
PAPER_099,1
PAPER_100,3
PAPER_1000,1112
PAPER_1001,147
PAPER_1002,629
PAPER_1003,39
PAPER_1004,471
PAPER_1005,6
PAPER_1006,27
PAPER_1007,97
PAPER_1008,12
PAPER_1009,630
PAPER_101,2
PAPER_1010,478
PAPER_1011,263
PAPER_1012,180
PAPER_1013,17
PAPER_1014,151
PAPER_1015,104
PAPER_1016,2
PAPER_1017,5
PAPER_1018,16
PAPER_1019,100
PAPER_102,4
PAPER_1020,297
PAPER_1021,146
PAPER_1022,890
PAPER_1023,161
PAPER_1024,247
PAPER_1025,8
PAPER_1026,5
PAPER_1027,17
PAPER_1028,3
PAPER_1029,39
PAPER_103,1
PAPER_1030,28
PAPER_1031,6
PAPER_1032,3
PAPER_1033,376
PAPER_1034,4
PAPER_1035,103
PAPER_1036,36
PAPER_1037,746
PAPER_1038,18
