quantity,kind,detail
26_level_energy_ladder,dispatch_aliases,e_n_polynomial_hierarchy
b_to_s_mu_mu,dispatch_aliases,fcnc;fcnc_b_to_s_mumu
f_trz_identity,dispatch_aliases,f_trz_so5_identity;g7_lagrangian_closure
cp_t_violation,dispatch_aliases,t_violation;t_violation_meson
ads_cft_extension,dispatch_aliases,ads_to_ds
aether_superfluid,dispatch_aliases,aether_superfluid_dynamics
aging_clock,dispatch_aliases,hayflick_limit
aharonov_bohm,dispatch_aliases,aharonov_bohm_effect;aharonov_bohm_paradox
aharonov_casher,dispatch_aliases,aharonov_casher_effect
banach_tarski,dispatch_aliases,banach_tarski_paradox
bell_spaceship,dispatch_aliases,bell_spaceship_paradox
bell_paradox,dispatch_aliases,bell_theorem;spooky_action
bertrand_paradox,dispatch_aliases,bertrand_probability
big_bang_singularity,dispatch_aliases,singularity_problem
burali_forti,dispatch_aliases,burali_forti_paradox
buridan_ass,dispatch_aliases,buridans_ass
c_value,dispatch_aliases,c_value_paradox
cantor_paradox,dispatch_aliases,cantors_paradox
cc_fine_tuning_120_orders,dispatch_aliases,cosmological_constant_120_orders
cdf_w_mass_anomaly,dispatch_aliases,w_boson_mass_cdf;w_mass_anomaly
clfv,dispatch_aliases,mu_to_e_gamma
cfl_phase,dispatch_aliases,color_superconductivity;color_superconductor
binding_problem,dispatch_aliases,consciousness_binding
cosmic_censorship,dispatch_aliases,penrose_hawking_singularity
c_nu_b,dispatch_aliases,cnub;cosmic_neutrino_background
cosmic_ray_ankle,dispatch_aliases,cr_ankle;cr_second_knee
crab_pulsar_spectrum,dispatch_aliases,crab_tev_cutoff
curry_paradox,dispatch_aliases,currys_paradox
cyclic_cosmology,dispatch_aliases,pre_big_bang
dark_age_21cm,dispatch_aliases,edges_21cm
dark_energy_eos_time_evolving,dispatch_aliases,dark_energy_w_de;w_de_time_evolving
decoherence_fundamental,dispatch_aliases,decoherence_limit
delayed_choice,dispatch_aliases,delayed_choice_eraser;quantum_eraser
distance_spooky,dispatch_aliases,spooky_action_distance
dark_matter_direct_detection,dispatch_aliases,dm_direct_detection
doomsday,dispatch_aliases,doomsday_argument
dpm_resonance_40hz,dispatch_aliases,star_magic_reactor_resonance
ehrenfest,dispatch_aliases,ehrenfest_paradox;rotating_disk_paradox
area_law_entanglement,dispatch_aliases,entanglement_entropy_law
eigenstate_thermalization,dispatch_aliases,eth
faber_jackson,dispatch_aliases,faber_jackson_relation
faint_young_sun,dispatch_aliases,faint_young_sun_paradox
final_parsec,dispatch_aliases,final_parsec_problem;smbh_binary_stall
fqh_states,dispatch_aliases,fractional_quantum_hall
fusion_ignition_lawson,dispatch_aliases,fusion_lawson
g_dwarf,dispatch_aliases,g_dwarf_problem
g_value,dispatch_aliases,g_value_paradox
galaxy_bar_fraction,dispatch_aliases,galaxy_bars
galaxy_rotation,dispatch_aliases,mond_paradox;rotation_curve
galaxy_rotation_full,dispatch_aliases,mond_tension
galileo_bijection,dispatch_aliases,galileo_paradox
genetic_code,dispatch_aliases,genetic_code_optimal
gibbs_mixing,dispatch_aliases,gibbs_paradox
grb_jet,dispatch_aliases,grb_jet_formation
gw_standard_siren,dispatch_aliases,standard_siren_h0
hanbury_brown_twiss,dispatch_aliases,hbt
higgs_invisible,dispatch_aliases,higgs_invisible_decay
higgs_trilinear,dispatch_aliases,lambda_HHH
high_tc_superconductivity,dispatch_aliases,htsc
hilbert_16th,dispatch_aliases,limit_cycles
hilbert_18th,dispatch_aliases,kepler_sphere_packing
axiomatize_physics,dispatch_aliases,hilbert_6th
hilbert_hotel,dispatch_aliases,infinity_paradox
cosmic_holography,dispatch_aliases,gauge_gravity_general;holographic_dim
hubbard_model,dispatch_aliases,hubbard_phase_diagram
hubble_bubble,dispatch_aliases,local_void
inflaton_n_s,dispatch_aliases,inflaton_potential
klein_gordon,dispatch_aliases,klein_gordon_negative_energy;negative_energy_paradox
klein_paradox,dispatch_aliases,klein_tunneling
kochen_specker,dispatch_aliases,quantum_contextuality
k_to_pi_nu_nu,dispatch_aliases,kaon_rare_decay;koto;koto_rare_kaon_decay
ladder_paradox,dispatch_aliases,pole_and_barn
lambda_qcd_problem,dispatch_aliases,non_perturbative_qcd
delta_cp,dispatch_aliases,lepton_cp_violation
b_meson_anomaly,dispatch_aliases,lepton_universality_violation;r_d_anomaly;r_k_anomaly
light_by_light,dispatch_aliases,light_light_scattering
loschmidt,dispatch_aliases,loschmidt_paradox;reversibility_paradox
mach_principle,dispatch_aliases,origin_of_inertia
magnetar_flare,dispatch_aliases,magnetar_giant_flare
f_ub_calibration,dispatch_aliases,mass_without_weight
many_body_localization,dispatch_aliases,mbl
missing_baryons,dispatch_aliases,missing_baryons_problem
missing_satellites,dispatch_aliases,missing_satellites_problem
mpemba,dispatch_aliases,mpemba_effect
n_body_3d,dispatch_aliases,n_body_simulation_3d
n_body,dispatch_aliases,nbody_problem;three_body_problem
ni62_peak_binding,dispatch_aliases,nickel_62
no_boundary,dispatch_aliases,no_boundary_proposal
anyons,dispatch_aliases,non_abelian_anyons
neutron_pasta,dispatch_aliases,neutron_star_pasta_phase;nuclear_pasta
alders_olbers,dispatch_aliases,aldors_paradox;olbers_paradox
higgs_vev_origin,dispatch_aliases,origin_of_mass
otoc_scrambling,dispatch_aliases,scrambling_time
pascal_mugging,dispatch_aliases,pascals_mugging
heat_death_recurrence,dispatch_aliases,poincare_recurrence
pop3_imf,dispatch_aliases,pop_iii_imf
levinthal_protein,dispatch_aliases,protein_folding
proto_element_identity,dispatch_aliases,proto_element_nuclear_identity;proto_iron_proto_silicon
dpm_atomic_creation,dispatch_aliases,proto_nucleus_atomic_creation;proto_nucleus_creation
prad_proton_radius,dispatch_aliases,proton_charge_radius_prad
proton_core_density,dispatch_aliases,rho_p_core
pulsar_glitch,dispatch_aliases,pulsar_timing_glitch
jet_quenching,dispatch_aliases,qgp_jet_quenching;r_aa_nuclear_modification
photosynthesis_coherence,dispatch_aliases,quantum_biology
qhe,dispatch_aliases,quantum_hall_topological
qsh_effect,dispatch_aliases,quantum_spin_hall
quantum_immortality,dispatch_aliases,quantum_suicide
quantum_supremacy,dispatch_aliases,quantum_supremacy_full
reichenbach,dispatch_aliases,reichenbach_common_cause
renninger,dispatch_aliases,renninger_negative_result
room_temp_sc,dispatch_aliases,room_temp_superconductor
diversity_rotation_curves,dispatch_aliases,rotation_curve_diversity
russell_paradox,dispatch_aliases,russells_paradox
schwinger_limit,dispatch_aliases,vacuum_pair_production_threshold
sleeping_beauty,dispatch_aliases,sleeping_beauty_problem
knot_recognition,dispatch_aliases,smale_11th
lorenz_attractor,dispatch_aliases,smale_14th
jacobian_conjecture,dispatch_aliases,smale_2nd
solar_neutrino,dispatch_aliases,solar_neutrino_problem
st_petersburg,dispatch_aliases,st_petersburg_paradox
stellar_magnetic_fields,dispatch_aliases,stellar_magnetism_origin
sun_peak_field_modulation,dispatch_aliases,sun_quiet_field
submarine_paradox,dispatch_aliases,supplee_submarine
szilard,dispatch_aliases,szilard_engine
tabletop_qg,dispatch_aliases,tabletop_quantum_gravity
at2019qiz,dispatch_aliases,at2024tvd;tde_wandering_mbh;tidal_disruption_wandering
ship_of_theseus,dispatch_aliases,theseus_ship
too_big_to_fail,dispatch_aliases,too_big_to_fail_problem
top_insulators,dispatch_aliases,topological_insulators
top_quantum_computation,dispatch_aliases,topological_qc
trans_planckian,dispatch_aliases,trans_planckian_problem
trouton_noble,dispatch_aliases,trouton_noble_paradox
tsirelson_bound,dispatch_aliases,tsirelson_saturation
two_envelopes,dispatch_aliases,two_envelopes_paradox
uhecr_acceleration,dispatch_aliases,ultra_high_energy_cosmic_rays
schwinger_pair,dispatch_aliases,vacuum_birefringence
higgs_vacuum_stability,dispatch_aliases,vacuum_stability
