quantity,kind,detail
BH_seed_mass,odmap_gap,PAPER_1650
BH_seed_mass,odmap_gap,PAPER_1650
BH_seed_mass,odmap_gap,PAPER_1650
BH_seed_mass,odmap_gap,PAPER_1650
BH_seed_mass,odmap_gap,PAPER_1650
BH_seed_mass,odmap_gap,PAPER_1650
BH_seed_mass,odmap_gap,PAPER_1650
BH_seed_mass,odmap_gap,PAPER_1650
BH_seed_mass,odmap_gap,PAPER_1650
CM_Apery_zeta3,odmap_gap,PAPER_1167
CM_Apery_zeta3,odmap_gap,PAPER_1167
CM_Apery_zeta3,odmap_gap,PAPER_1167
CM_Apery_zeta3,odmap_gap,PAPER_1167
CM_Apery_zeta3,odmap_gap,PAPER_1167
CM_Apery_zeta3,odmap_gap,PAPER_1167
CM_Apery_zeta3,odmap_gap,PAPER_1167
CM_Apery_zeta3,odmap_gap,PAPER_1167
CM_Apery_zeta3,odmap_gap,PAPER_1167
CM_BCS_coherence_length_coeff,odmap_gap,PAPER_1167
CM_BCS_coherence_length_coeff,odmap_gap,PAPER_1167
CM_BCS_coherence_length_coeff,odmap_gap,PAPER_1167
CM_BCS_coherence_length_coeff,odmap_gap,PAPER_1167
CM_BCS_coherence_length_coeff,odmap_gap,PAPER_1167
CM_BCS_coherence_length_coeff,odmap_gap,PAPER_1167
CM_BCS_coherence_length_coeff,odmap_gap,PAPER_1167
CM_BCS_coherence_length_coeff,odmap_gap,PAPER_1167
CM_BCS_coherence_length_coeff,odmap_gap,PAPER_1167
CM_BCS_gap_ratio,odmap_gap,PAPER_1167
CM_BCS_gap_ratio,odmap_gap,PAPER_1167
CM_BCS_gap_ratio,odmap_gap,PAPER_1167
CM_BCS_gap_ratio,odmap_gap,PAPER_1167
CM_BCS_gap_ratio,odmap_gap,PAPER_1167
CM_BCS_gap_ratio,odmap_gap,PAPER_1167
CM_BCS_gap_ratio,odmap_gap,PAPER_1167
CM_BCS_gap_ratio,odmap_gap,PAPER_1167
CM_BCS_gap_ratio,odmap_gap,PAPER_1167
CM_BCS_isotope_alpha,odmap_gap,PAPER_1167
CM_BCS_isotope_alpha,odmap_gap,PAPER_1167
CM_BCS_isotope_alpha,odmap_gap,PAPER_1167
CM_BCS_isotope_alpha,odmap_gap,PAPER_1167
CM_BCS_isotope_alpha,odmap_gap,PAPER_1167
CM_BCS_isotope_alpha,odmap_gap,PAPER_1167
CM_BCS_isotope_alpha,odmap_gap,PAPER_1167
CM_BCS_isotope_alpha,odmap_gap,PAPER_1167
CM_BCS_isotope_alpha,odmap_gap,PAPER_1167
CM_BEC_Tc_coeff,odmap_gap,PAPER_1167
CM_BEC_Tc_coeff,odmap_gap,PAPER_1167
CM_BEC_Tc_coeff,odmap_gap,PAPER_1167
CM_BEC_Tc_coeff,odmap_gap,PAPER_1167
CM_BEC_Tc_coeff,odmap_gap,PAPER_1167
CM_BEC_Tc_coeff,odmap_gap,PAPER_1167
CM_BEC_Tc_coeff,odmap_gap,PAPER_1167
CM_BEC_Tc_coeff,odmap_gap,PAPER_1167
CM_BEC_Tc_coeff,odmap_gap,PAPER_1167
CM_Brinkman_Rice_U_c_W,odmap_gap,PAPER_1167
CM_Brinkman_Rice_U_c_W,odmap_gap,PAPER_1167
CM_Brinkman_Rice_U_c_W,odmap_gap,PAPER_1167
CM_Brinkman_Rice_U_c_W,odmap_gap,PAPER_1167
CM_Brinkman_Rice_U_c_W,odmap_gap,PAPER_1167
CM_Brinkman_Rice_U_c_W,odmap_gap,PAPER_1167
CM_Brinkman_Rice_U_c_W,odmap_gap,PAPER_1167
CM_Brinkman_Rice_U_c_W,odmap_gap,PAPER_1167
CM_Brinkman_Rice_U_c_W,odmap_gap,PAPER_1167
CM_Sommerfeld_Wilson_R_W,odmap_gap,PAPER_1167
CM_Sommerfeld_Wilson_R_W,odmap_gap,PAPER_1167
CM_Sommerfeld_Wilson_R_W,odmap_gap,PAPER_1167
CM_Sommerfeld_Wilson_R_W,odmap_gap,PAPER_1167
CM_Sommerfeld_Wilson_R_W,odmap_gap,PAPER_1167
CM_Sommerfeld_Wilson_R_W,odmap_gap,PAPER_1167
CM_Sommerfeld_Wilson_R_W,odmap_gap,PAPER_1167
CM_Sommerfeld_Wilson_R_W,odmap_gap,PAPER_1167
CM_Sommerfeld_Wilson_R_W,odmap_gap,PAPER_1167
CM_Wiedemann_Franz_L_coeff,odmap_gap,PAPER_1167
CM_Wiedemann_Franz_L_coeff,odmap_gap,PAPER_1167
CM_Wiedemann_Franz_L_coeff,odmap_gap,PAPER_1167
