src_kind,src,dst_kind,dst,edge_info
constant,B_CRIT,route_paper,PAPER_2126,cited_by=4
constant,C_UQFF_DERIVED,route_paper,PAPER_592,cited_by=18
constant,D_BSFG,route_paper,PAPER_1521,cited_by=82
constant,G_UQFF,route_paper,PAPER_593,cited_by=32
constant,H0_GRID,route_paper,PAPER_2093,cited_by=19
constant,HBAR_UQFF_S629,route_paper,PAPER_590,cited_by=10
constant,KAPPA,route_paper,PAPER_2112,cited_by=5
constant,K_B_UQFF,route_paper,PAPER_1209EE,cited_by=30
constant,K_MEX,route_paper,PAPER_1522,cited_by=66
constant,K_SPRING,route_paper,PAPER_1203,cited_by=223
constant,LAMBDA_SIMPLE,route_paper,PAPER_1156,cited_by=179
constant,LAMBDA_VAC,route_paper,PAPER_2120,cited_by=3
constant,MU_0,route_paper,PAPER_2108,cited_by=5
constant,T_SCM_K,route_paper,PAPER_1072,cited_by=799
primitive,A_5,registry_row,a5_kmex_125_exact,dispatch
primitive,A_5,registry_row,a5_over_dphys_15_cross_domain,dispatch
primitive,A_5,registry_row,a5_plus_so5_h0,dispatch
primitive,A_5,registry_row,a_5_over_d_phys_15_4th_instance_gev_energy,dispatch
primitive,A_5,registry_row,casimir_force_240_a_5_d_phys,dispatch
primitive,A_5,registry_row,cena_e_jet_so_5_pow_a_5_minus_d_bsfg_minus_n_ch,dispatch
primitive,A_5,registry_row,full_circle_360_d_bsfg_a_5,dispatch
primitive,A_5,registry_row,full_circle_360_d_bsfg_times_a_5_primitive_composition,dispatch
primitive,A_5,registry_row,gamma_jet_3c273_quasar_a_5_over_d_phys_lorentz_factor_5th_instance,dispatch
primitive,A_5,registry_row,hayflick_a5_60_div,dispatch
primitive,A_5,registry_row,higgs_125_gev_a_5_k_mex_cross_domain_twin_aging,dispatch
primitive,A_5,registry_row,kappa_5e4_derivative_from_so_5_and_f_trz_primitive_reduction_landmark_paper_2112,dispatch
primitive,A_5,registry_row,m_max_imf_a_5_over_d_phys_times_so_5_150_domain_extension_paper_1971_stellar_mass_domain,dispatch
primitive,A_5,registry_row,m_w_alt_a5_plus_a5_3,dispatch
primitive,A_5,registry_row,n_batches_a_5_minus_so_5_50_domain_extension_paper_1203_nuclear_magic_50_batch_count_integer_domain,dispatch
primitive,A_5,registry_row,p_input_65w_bulb_a_5_plus_so_5_over_2_hardware_design_choice_additive_combination_watt_domain,dispatch
primitive,A_5,registry_row,rotation_rate_cosmicegg_a_5_times_d_phys_minus_1_over_d_phys_45,dispatch
primitive,A_5,registry_row,span_m16_eagle_nebula_a_5_plus_so_5_astronomical_length_ly_3rd_domain,dispatch
primitive,A_5,registry_row,stefan_sigma_5_67,dispatch
primitive,A_5,registry_row,t_hot_reactor_d_bsfg_times_a_5_plus_1_366_new_composed_a_5_successor_form_kelvin_reactor_base,dispatch
primitive,A_5,registry_row,t_obs_nanograv_pta_a_5_over_d_phys_year_domain_4th_instance,dispatch
primitive,A_5,registry_row,target_fps_60_a_5_video_frame_rate_first_instance_bare_a_5_primitive,dispatch
primitive,A_5,registry_row,z_drag_cmb_so_5_3_plus_a_5_1060_new_additive_combination_cosmological_redshift_domain,dispatch
primitive,D_BSFG,constant,HBAR_UQFF_S629,module_formula
primitive,D_BSFG,registry_row,2_pow_d_bsfg_lenr_composition,dispatch
primitive,D_BSFG,registry_row,D_BSFG,primitives
primitive,D_BSFG,registry_row,batch_total_energy_d_crit_minus_d_bsfg_minus_1_over_d_phys_so_5_0_475_new_ratio_paper_2090_r215_f2_19_reuse_energy_joule,dispatch
