quantity_key,n_rows,origins,canonical_route,row_names_sample
F_TRZ,103,dispatch;primitives,SOLE_ROUTE_family,F_TRZ;a_spin_3c273_quasar_1_minus_f_trz_over_2_half_factor_complement_kerr_6th_sub_family;a_spin_cena_1_minus_3_f_trz_integer_multiple_complement_kerr_7th_sub_family;a_spin_m87_one_minus_f_trz_kerr_dimensional_extension;a_spin_ton618_1_minus_2_f_trz_3_higher_power_complement_kerr_8th_sub_family
H0,64,dispatch;odmap,PAPER_2093 grid (2.27e-18 = observed local anchor; residual = Hubble tension per PAPER_2125),LCDM_BAO_rd_H0_over_c_alternate;LCDM_BAO_rd_H0_over_c_alternate;LCDM_BAO_rd_H0_over_c_alternate;LCDM_BAO_rd_H0_over_c_alternate;LCDM_BAO_rd_H0_over_c_alternate
Lambda,59,dispatch;odmap,PAPER_1156 (R228 precedent; PAPER_2094 = companion form),SM_higgs_lambda_S377;SM_higgs_lambda_S377;SM_higgs_lambda_S377;SM_higgs_lambda_S377;SM_higgs_lambda_S377
Phi_res,3,dispatch;primitives,"SECTOR RULE per PAPER_2129 (R1 2026-07-22: counting sectors 5/6, resonance sectors 0.84)",Phi_res;phi_res_5_6_d_minus_1_over_d;t_n_photo29_phi_res_canonical_0_84_domain_extension_reactor_timestamp_observable
SSq,3,dispatch;primitives,SOLE_ROUTE_family,SSq;e_batch1_total_ssq_canonical_0_57_domain_extension_reactor_energy_observable_joule;kmex_ssq_two_path_convergence
beta_i,17,dispatch;odmap;primitives,SOLE_ROUTE_family,beta_i;beta_i_four_channel_beta_1;constant_triple_convergence_beta_i_rho_vac_c_first_3_constant_instance_paper_2122;flat_rotation_beta_i;flat_rotation_beta_i
c_light,1,dispatch,SOLE_ROUTE_family,speed_of_light_c_2_998
k_B,17,dispatch;odmap,1209EE S628 with Phi_5/6 (PAPER_2129),boltzmann_brain;holographic_bulk_bdy_6_5;k_b_near_exact_live_composition_phi_5_6_sector_selection_rule_paper_2129;ni62_peak_binding;polarity_rate_pluto_d_phys_minus_1_times_f_trz_2_0_03_4th_instance_integer_f_trz_2_sub_family_landmark_bridge
kappa,5,dispatch;primitives,SOLE_ROUTE_family,kappa;kappa_5e4_derivative_from_so_5_and_f_trz_primitive_reduction_landmark_paper_2112;kappa_decay_lenr_d_phys_plus_1_times_f_trz_4_5e_minus_4_new_composed_prefix_times_f_trz_4_form_reactor_decay_day;kappa_so_5_over_2_over_so_5_4_decay;kappa_v_nebular_lenr_efield_1_plus_f_trz_over_2_half_factor_sub_family_form
mu_0,2,dispatch,SOLE_ROUTE_family,mu_0_equals_4_pi_times_f_trz_pow_7_maxwell_vacuum_permeability_landmark_paper_2108;mu_0_lead_1_257
omega_SCm,2,dispatch,SOLE_ROUTE_family,lyman_balmer_5p4_omega_scm_inter_series_twin;omega_scm_universal_carrier
planck_h,1,dispatch,SOLE_ROUTE_family,planck_h_lead_6_626
rho_SCm,3,dispatch;primitives,SOLE_ROUTE_family,canonical_anchored_sub_family_taxonomy_2_dominant_rho_scm_anchored_omega_scm_anchored;rho_vac_SCm;rho_vac_ui_ufe_d_phys_times_rho_scm_canonical_anchored_composition_vacuum_energy_density
rho_UA,4,dispatch;primitives,SOLE_ROUTE_family,aether_metric_triple_g_c_rho_vac_second_constant_triple_instance_paper_2123;rho_vac_UA;rho_vac_total_877;rho_vac_ua_prime_golden
