category,count,detail
exact_stem_match,1988,
fuzzy_paperid_match,0,
md_without_pdf,223,
pdf_without_md,0,
R2_affected,HAS_PDF,COMPLETE_UQFF_EQUATIONS_REFERENCE
R2_affected,HAS_PDF,PAPER_067_AGN_SgrA_M87_CentaurusA_UQFF
R2_affected,HAS_PDF,PAPER_070_Planetary_Nebula_Dynamics_Helix_UQFF
R2_affected,HAS_PDF,PAPER_089_UQFF_Master_Equation_Derivation
R2_affected,HAS_PDF,PAPER_107_EP12_BoseEinstein_Nuclear_BEC_Proof
R2_affected,HAS_PDF,PAPER_111_EP01_Chandra_RACS_NaivierStokes_Proof
R2_affected,HAS_PDF,PAPER_112_EP02_PDG2025_EnergyLadder_Proof
R2_affected,HAS_PDF,PAPER_113_EP05_FermiLAT_Blazar_Ereact_Proof
R2_affected,HAS_PDF,PAPER_117_EP04_ENSDF_Pb206_BindingLadder_Proof
R2_affected,HAS_PDF,PAPER_121_UQFF_71Equation_Catalog_Complete_Framework
R2_affected,HAS_PDF,PAPER_122_UQFF_Compressed_PDG_241Particle_Ladder
R2_affected,HAS_PDF,PAPER_127_UQFF_Resonant_ParkerSolarProbe_DeltaSW
R2_affected,HAS_PDF,PAPER_130_UQFF_Buoyancy_IceCube_Beta_i_CRP_Calibration
R2_affected,HAS_PDF,PAPER_132_UQFF_Quadratic_BEC_Tohsaki_Hoyle_NB3_Tc
R2_affected,HAS_PDF,PAPER_133_UQFF_F_U_Genesis_Complete_Derivation_4Component_Framework
R2_affected,HAS_PDF,PAPER_139_UQFF_HydrogenAtom_Ug4i_InverseBoyle_MetallicH_CrystallineMUGE
R2_affected,HAS_PDF,PAPER_140_UQFF_UAprSCm10_DualMonopole_VacuumDensity_UniversalRatio
R2_affected,HAS_PDF,PAPER_141_UQFF_H2O_Azeotrope_OceanicSalinity_Buoy_Ug4_NOAAValidation
R2_affected,HAS_PDF,PAPER_143_UQFF_40pct_Contribution_MUGE_vs_Prior_SchrodingerDirac_Bridge
R2_affected,HAS_PDF,PAPER_144_StarMagic_SCm_CosmicGlue_Paradigm_Complete_Framework_Overview
R2_affected,HAS_PDF,PAPER_146_UQFF_SuperconductiveResonance_12Term_MUGE_Master_Equation
R2_affected,HAS_PDF,PAPER_147_UQFF_FDPM_VorticalResonance_DPM_Driver_Aether_Coupling
R2_affected,HAS_PDF,PAPER_1487_DISTANCE_SPOOKY
R2_affected,HAS_PDF,PAPER_148_UQFF_SGR1745_Magnetar_MUGE_FluidDynamics_Dominant
R2_affected,HAS_PDF,PAPER_149_UQFF_SgrA_MUGE_FDPM_Dominance_Extreme_Gravity
R2_affected,HAS_PDF,PAPER_151_UQFF_Pillars_RingsOfRelativity_MUGE_Cascade_Gravity
R2_affected,HAS_PDF,PAPER_153_UQFF_MorrisThorne_Wormhole_Geodesics_UQFF_Metric
R2_affected,HAS_PDF,PAPER_163_UQFF_Modular_Compressed_MUGE_Decomposed_Functions
R2_affected,HAS_PDF,PAPER_173_Modular_Compressed_MUGE_9Term_Decomposition
R2_affected,HAS_PDF,PAPER_174_Modular_Resonance_MUGE_13Term_Wormhole
R2_affected,HAS_PDF,PAPER_180_CoAnQi_Unit_Test_Suite_26_Validated_Functions
R2_affected,HAS_PDF,PAPER_183_Yang_Mills_Hamiltonian_SCm_UA_Framework
R2_affected,HAS_PDF,PAPER_185_UQFF_Pi_Cycle_Riemann_Zeta_Connection
R2_affected,HAS_PDF,PAPER_187_Canonical_7_Object_MUGESystem_Catalog
R2_affected,NO_PDF,PAPER_1894_ZWICKY_MISSING_MASS_UQFF
