constant,canonical_route,closed_form,uqff_value,reference,reference_kind,residual_pct
G,PAPER_593,(2*pi*D_crit^3*Phi_res/(SSq^3*(26!)^2))*v_F^5/(E_0*f_THz),6.668991909557279e-11,6.674e-11,observed,0.075039
c,PAPER_592,(D_crit*4*pi/Phi_res)*v_F,299498499.642227,299792458.0,observed,0.098054
mu_0,PAPER_2108,4*pi*F_TRZ^7,1.2566370614359177e-06,1.2566370614359173e-06,SI-defined,0.000000
k_B,PAPER_1209EE S628,(SSq+Phi_5/6-F_TRZ*SSq+F_TRZ^2*D_phys-F_TRZ^2*SSq)*1e-23,1.3806333333333334e-23,1.380649e-23,SI-defined,0.001135
hbar,PAPER_590/1209EE S629,(D_BSFG+F_TRZ*D_BSFG+F_TRZ^2*D_phys-F_TRZ^2*SSq-F_TRZ^2)*1e-34/(2*pi),1.0542900895236421e-34,1.054571817e-34,SI-defined,0.026715
H0,PAPER_1573,(A_5+SO_5) km/s/Mpc EXACT -> s^-1 via Mpc anchor,2.26852902096769e-18,2.27e-18,observed (local); Hubble tension resolved by A_5+SO_5=70 compromise between SH0ES 73 & Planck 67.4,0.064801
Lambda,PAPER_2094/1156,(SO_5+1)*F_TRZ^53,1.1000000000000032e-52,1.11e-52,observed,0.900901
kappa,PAPER_2112,(SO_5/2)*F_TRZ^4,0.0005000000000000001,0.0005,canonical PAPER_1202,0.000000
B_crit,PAPER_2126,D_phys*(SO_5+1)*SO_5^12,44000000000000,44000000000000.0,canonical,0.000000
k_spring,PAPER_1203,(rho_UA/rho_SCm)*omega_SCm*Phi_res,10500000000000.0,10500000000000.0,canonical,0.000000
lambda_vac,PAPER_2120,(SO_5+1)*rho_SCm,7.799000000000001e-36,7.799000000000001e-36,canonical,0.000000
T_SCm,PAPER_1072,h*f_SCm/k_B,59.954218057584086,59.95,canonical PAPER_1072,0.007036
D_BSFG,PAPER_1521,D_crit-2*SO_5,6.0,6.0,EXACT,0.000000
K_MEX,PAPER_1522,Phi_5/6*SO_5/D_phys,2.0833333333333335,2.0833333333333335,EXACT,0.000000
Q_phonon,PAPER_2154,SO_5^2/D_phys^2 = 3*K_MEX,6.25,6.25,EXACT,0.000000
D_GW_erosion,PAPER_2154,D_phys/D_BSFG,0.6666666666666666,0.6666666666666666,EXACT,0.000000
A_5_over_D_phys,PAPER_2143,A_5/D_phys,15.0,15.0,EXACT,0.000000
k2_over_Q_rocky,PAPER_2136,(D_phys-1)/(A_5*K_MEX),0.023999999999999997,0.024,EXACT,0.000000
frame_cadence_62,PAPER_2137,2*D_crit+SO_5,62.0,62.0,EXACT,0.000000
composed_integer_44,PAPER_2126,D_phys*(SO_5+1),44.0,44.0,EXACT,0.000000
aether_coupling_11,PAPER_1978,SO_5+1,11.0,11.0,EXACT,0.000000
dg_composed_integer,PAPER_2139,D_crit*SO_5^19,2.6e+20,2.6e+20,EXACT,0.000000
VCK_kernel,PAPER_2131,F_TRZ*K_MEX*SSq,0.11875000000000001,0.11875,EXACT,0.000000
tilt_product_1_12,PAPER_2132,F_TRZ*Phi_5/6,0.08333333333333334,0.08333333333333333,EXACT,0.000000
alpha_inverse_UQFF,PAPER_2134,A_5*K_MEX+12,137.0,137.036,observed (fine-structure alpha^-1),0.026270
Omega_Lambda_UQFF,PAPER_1156,(6/5)*SSq,0.6839999999999999,0.6889,observed (Planck 2018),0.711279
halving_D_phys,PAPER_2138,D_phys/2,2.0,2.0,EXACT,0.000000
halving_D_BSFG,PAPER_2138,D_BSFG/2,3.0,3.0,EXACT,0.000000
halving_SO_5,PAPER_2138,SO_5/2,5.0,5.0,EXACT,0.000000
halving_D_crit,PAPER_2138,D_crit/2,13.0,13.0,EXACT,0.000000
alpha_fine_structure,PAPER_2134,1/(A_5*K_MEX+12),0.0072992700729927005,0.0072973525692838015,observed (CODATA 2018 α^-1 = 137.036),0.026277
h_planck,PAPER_590 composed,2*pi*hbar,6.624299999999999e-34,6.62607015e-34,SI-defined,0.026715
hubble_tilt_1_12,PAPER_1156,K_MEX-2 = 25/12-24/12,0.08333333333333348,0.08333333333333333,EXACT,0.000000
DM_fraction_Sombrero,PAPER_1979,2*F_TRZ,0.2,0.2,EXACT (Sombrero cross-domain),0.000000
H0_km_per_s_per_Mpc,PAPER_1573,A_5+SO_5,70.0,70.0,EXACT (natural-unit form of H_0 = 2.269e-18 s^-1),0.000000
age_universe_seconds,PAPER_1573 composed,1/H_0,4.408142857142857e+17,4.354e+17,observed (~13.8 Gyr Hubble time),1.243520
rho_critical,PAPER_1573+PAPER_593 composed,3*H_0^2/(8*pi*G),9.211065773544453e-27,8.62e-27,observed (Planck 2018),6.856912
rho_Lambda_energy,PAPER_2094+PAPER_592/593 composed,Lambda*c^4/(8*pi*G),5.280453703996504e-10,5.36e-10,observed (Planck 2018 ρ_Λ energy density J/m^3),1.484073
planck_length,PAPER_590+PAPER_593+PAPER_592 composed,sqrt(hbar*G/c^3),1.6177752266259353e-35,1.616255e-35,SI-defined,0.094059
planck_mass,PAPER_590+PAPER_593+PAPER_592 composed,sqrt(hbar*c/G),2.1759418863605737e-08,2.176434e-08,SI-defined,0.022611
planck_time,PAPER_590+PAPER_593+PAPER_592 composed,sqrt(hbar*G/c^5),5.401613792918786e-44,5.391247e-44,SI-defined,0.192289
wien_displacement_b,PAPER_1209EE S628 composed,h*c/(4.965...*k_B),0.0028941900378419167,0.002897771955,SI-defined,0.123609
stefan_boltzmann_sigma,PAPER_590+PAPER_592+PAPER_1209EE S628 composed,pi^2*k_B^4/(60*hbar^3*c^2),5.685808635496252e-08,5.670374419e-08,SI-defined,0.272190
hodge_identity,PAPER_1182,1.0 (dimensionless closure),1.0,1.0,EXACT,0.000000
poincare_7_12,PAPER_1182 §3.1,K_MEX - 3/2 = 25/12 - 18/12,0.5833333333333335,0.5833333333333334,EXACT,0.000000
