"MTime","Length","FullName"
"2026-05-18 17:49","0","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_ALL_AUDIT_FILES.csv"
"2026-05-18 04:15","50979","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\unified_closure_audit.json"
"2026-05-18 03:14","11489","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\UQFF_CALIBRATION_AUDIT.md"
"2026-05-16 19:35","6955","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_PAPER_1065_1066_variational_audit.py"
"2026-05-16 18:13","981","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_gap_audit_post_jj.py"
"2026-05-15 15:07","13830","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_millennium_prize_audit.py"
"2026-05-15 15:07","4492","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_millennium_prize_audit.json"
"2026-05-15 12:44","4666","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_audit_rho_scm_units.py"
"2026-05-15 12:43","61819","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_audit_rho_scm_units.json"
"2026-05-11 14:18","485","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_job_b_audit.py"
"2026-05-11 02:34","5888","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\SESSION_261_AUDIT_REPORT.md"
"2026-05-11 02:33","8852","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session261_audit_output.txt"
"2026-05-11 02:33","8939","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session261_audit.py"
"2026-05-06 14:00","738","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_audit_subdir_vcxproj.ps1"
"2026-05-06 13:57","1597","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_audit_vcxproj_versions.ps1"
"2026-05-05 16:23","7507","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_RareMathOcc20June2025_audit.md"
"2026-05-05 14:24","14533","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_5b41d132_audit.md"
"2026-05-03 09:56","1409","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_audit_10_refs.py"
"2026-05-03 00:28","1397","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_audit_stale_pdfs.py"
"2026-05-03 00:27","1066","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_audit_commits.py"
"2026-04-13 08:58","599336","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\audit_gold_standard_results.json"
"2026-04-13 08:52","384","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\analyze_audit.py"
"2026-04-13 08:50","14370","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\audit_gold_standard.py"
"2026-04-08 01:57","1124","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\whitepaper_audit_results.json"
"2026-04-07 19:48","10872","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\whitepaper_audit.py"
"2026-04-03 16:24","5964","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\deep_glyph_audit.py"
"2026-04-03 16:23","115821","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\glyph_audit_results.json"
"2026-04-02 18:59","6645","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_thread_06Jun2025_audit.md"
"2026-04-02 18:28","6336","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_thread_05June2025_audit.md"
"2026-04-02 17:54","5679","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_2f342cfb3cd54_audit.md"
"2026-04-02 17:38","5855","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_efbc185669d_audit.md"
"2026-04-01 08:07","9223","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\SESSION_172_AUDIT_HELPER.md"
"2026-04-01 07:28","5812","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\SESSION_171_AUDIT_HELPER.md"
"2026-03-31 17:43","7049","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\SESSION_169_AUDIT_HELPER.md"
"2026-03-31 16:43","12219","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\SESSION_168_AUDIT_HELPER.md"
"2026-03-30 12:36","9254","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\session_161_physics_audit.md"
