"MTime","Length","FullName"
"2026-05-18 17:51","0","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_ALL_AUDIT_FILES_BROAD.csv"
"2026-05-18 17:50","6351","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_ALL_AUDIT_FILES.csv"
"2026-05-18 15:14","74618","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\master_closures.csv"
"2026-05-18 15:12","827","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session268_gap_closures.json"
"2026-05-18 15:12","769","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session267_extended_closures.json"
"2026-05-18 15:12","1117","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session266_root_closure.json"
"2026-05-18 15:12","252","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session304_rho_vac_scm_derivation_closures.json"
"2026-05-18 15:12","1082","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session264_closures.json"
"2026-05-18 15:12","432","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session274_beta_lambda_closure.json"
"2026-05-18 15:12","371","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session279_mu_tau_closure.json"
"2026-05-18 15:12","10265","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session280_quark_closure.json"
"2026-05-18 15:12","245","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session303_universal_buoyancy_solver_closures.json"
"2026-05-18 15:12","567","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session275_mp_planck_closure.json"
"2026-05-18 15:12","571","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session276_chandrasekhar_closure.json"
"2026-05-18 15:12","5073","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session278_me_closure.json"
"2026-05-18 15:12","1496","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session263_closures.json"
"2026-05-18 15:12","2619","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session262_closures.json"
"2026-05-18 15:12","1496","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session261_closures.json"
"2026-05-18 15:12","1052","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session207_cp_chain_closures.json"
"2026-05-18 15:11","1661","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session206_qcalcgeom_ubs_closures.json"
"2026-05-18 15:11","1528","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session202_closures.json"
"2026-05-18 15:11","609","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session204_closures.json"
"2026-05-18 15:11","1178","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session205_closures.json"
"2026-05-18 15:11","570","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session201_closures.json"
"2026-05-18 15:11","1883","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session203_closures.json"
"2026-05-18 04:46","4904","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_emit_closure_json.py"
"2026-05-18 04:46","7666","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\__pycache__\_emit_closure_json.cpython-314.pyc"
"2026-05-18 04:44","176081","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\pdf\PAPER_1212_UQFF_Cosmological_Constant_Closure.pdf"
"2026-05-18 04:44","32","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\pdf\PAPER_1213_UQFF_Page_Curve_Closure.aux"
"2026-05-18 04:44","32","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\pdf\PAPER_1212_UQFF_Cosmological_Constant_Closure.aux"
"2026-05-18 04:44","10547","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\pdf\PAPER_1213_UQFF_Page_Curve_Closure.log"
"2026-05-18 04:44","10923","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\pdf\PAPER_1212_UQFF_Cosmological_Constant_Closure.log"
"2026-05-18 04:44","165047","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\pdf\PAPER_1213_UQFF_Page_Curve_Closure.pdf"
"2026-05-18 04:30","4250","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\whitepapers\PAPER_1212_UQFF_Cosmological_Constant_Closure.tex"
"2026-05-18 04:30","4204","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\whitepapers\PAPER_1213_UQFF_Page_Curve_Closure.tex"
"2026-05-18 04:15","50979","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\unified_closure_audit.json"
"2026-05-18 04:15","85244","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\UQFF_UNIFIED_CLOSURE_DERIVATIONS.py"
"2026-05-18 03:14","11489","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\UQFF_CALIBRATION_AUDIT.md"
"2026-05-17 23:05","22701","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\__pycache__\_session290_field_generator_lab_plasma_validation.cpython-314.pyc"
"2026-05-17 23:02","18252","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session290_field_generator_lab_plasma_validation.py"
"2026-05-17 13:36","7877","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session275_mp_planck_closure.py"
"2026-05-17 13:13","242989","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\pdf\PAPER_1211_Phase_H_Closure_Trail.pdf"
"2026-05-17 13:13","10033","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\whitepapers\PAPER_1211_Phase_H_Closure_Trail.md"
"2026-05-17 11:04","5169","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session207_cp_chain_closures.py"
"2026-05-17 04:40","5363","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session206_qcalcgeom_ubs_closures.py"
"2026-05-17 03:32","2717","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_verify_s205.py"
"2026-05-17 03:26","4664","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session205_closures.py"
"2026-05-17 03:12","4548","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_verify_s201.py"
"2026-05-17 03:05","4527","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session201_closures.py"
"2026-05-17 02:24","2562","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_verify_s204.py"
"2026-05-17 02:21","301505","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\pdf\PAPER_S204_Phase_H204_GapClosure.pdf"
"2026-05-17 02:21","9545","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\whitepapers\PAPER_S204_Phase_H204_GapClosure.tex"
"2026-05-17 02:11","5988","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session204_closures.py"
"2026-05-17 00:44","6255","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session203_closures.py"
"2026-05-17 00:03","7339","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session202_closures.py"
"2026-05-16 23:50","12129","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session_inventory_201_230.txt"
"2026-05-16 19:35","6955","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_PAPER_1065_1066_variational_audit.py"
"2026-05-16 18:54","1337","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_show_closure_evidence.py"
"2026-05-16 18:25","2114","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_append_frontier_closures.py"
"2026-05-16 18:20","2761","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_append_millennium_closures.py"
"2026-05-16 18:13","981","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_gap_audit_post_jj.py"
"2026-05-16 18:05","1601","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_append_paper1189_closures.py"
"2026-05-16 18:03","4125","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_harvest_json_closures.py"
"2026-05-16 17:59","5118","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_harvest_text_closures.py"
"2026-05-16 17:37","180544","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\pdf\PAPER_1210_UQFF_Lagrangian_Bridge_172_Closures.pdf"
"2026-05-16 17:37","4350","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\whitepapers\PAPER_1210_UQFF_Lagrangian_Bridge_172_Closures.tex"
"2026-05-16 17:36","2879","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session684_closure_to_sector_bridge.py"
"2026-05-15 23:14","20899","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\whitepapers\PAPER_1181_UQFF_Grand_Unification_S266_S295_Thirty_Closures.md"
"2026-05-15 23:14","407616","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\pdf\PAPER_1181_UQFF_Grand_Unification_S266_S295_Thirty_Closures.pdf"
"2026-05-15 21:19","6522","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session286_PMNS_closure.py"
"2026-05-15 21:13","4529","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session285_CKM_closure.py"
"2026-05-15 21:06","3501","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session283_verify.py"
"2026-05-15 20:58","2891","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session282_newton_G_closure.py"
"2026-05-15 20:51","1985","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session281_verify.py"
"2026-05-15 20:46","5152","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session280_quark_closure.py"
"2026-05-15 20:46","2329","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session280_verify.py"
"2026-05-15 20:40","6348","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session279_mu_tau_closure.py"
"2026-05-15 20:36","8770","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session278_me_closure.py"
"2026-05-15 20:27","7852","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session276_chandrasekhar_closure.py"
"2026-05-15 20:21","7954","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session274_beta_lambda_closure.py"
"2026-05-15 19:30","14620","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session268_gap_closures.py"
"2026-05-15 18:53","11885","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session267_extended_closures.py"
"2026-05-15 18:44","15161","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session266_root_closure.py"
"2026-05-15 15:39","8837","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session264_closures.py"
"2026-05-15 15:36","11886","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session263_closures.py"
"2026-05-15 15:33","15190","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session262_closures.py"
"2026-05-15 15:29","14983","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_session261_closures.py"
"2026-05-15 15:20","14929","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_six_anchor_closures.py"
"2026-05-15 15:20","3054","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_six_anchor_closures.json"
"2026-05-15 15:07","13830","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_millennium_prize_audit.py"
"2026-05-15 15:07","4492","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_millennium_prize_audit.json"
"2026-05-15 15:02","1304","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_matter_density_closures.json"
"2026-05-15 15:02","9364","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_matter_density_closures.py"
"2026-05-15 14:58","1002","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_cosmological_closures.json"
"2026-05-15 14:52","6293","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_cosmological_closures.py"
"2026-05-15 12:44","4666","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_audit_rho_scm_units.py"
"2026-05-15 12:43","61819","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_audit_rho_scm_units.json"
"2026-05-12 00:55","50059","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\whitepapers\PAPER_001_GW170817_UQFF_Damping_Analysis.tex"
"2026-05-12 00:05","484043","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\pdf\PAPER_012b_GW150914_Waveform_Validation.pdf"
"2026-05-12 00:05","39449","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\whitepapers\PAPER_012b_GW150914_Waveform_Validation.tex"
"2026-05-11 21:41","106","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_pdf_drift_report.csv"
"2026-05-11 21:08","41251","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\whitepapers\PAPER_001_GW170817_UQFF_Damping_Analysis.md"
"2026-05-11 18:18","383885","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\pdf\PAPER_001_GW170817_UQFF_Damping_Analysis.pdf"
"2026-05-11 15:56","2575","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_job_b_verify_batch3.py"
"2026-05-11 15:49","381197","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\pdf_backup_pandoc_2026-05-12\PAPER_012b_GW150914_Waveform_Validation.pdf"
"2026-05-11 15:42","772","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_job_b_verify_next10.py"
"2026-05-11 15:39","30234","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\whitepapers\PAPER_012b_GW150914_Waveform_Validation.md"
"2026-05-11 15:35","2766","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_job_b_verify_first10.py"
"2026-05-11 15:29","423821","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\pdf_backup_pandoc_2026-05-11\PAPER_001_GW170817_UQFF_Damping_Analysis.pdf"
"2026-05-11 15:20","2705","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_job_b_report.py"
"2026-05-11 15:06","10904","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_job_b_report.txt"
"2026-05-11 14:18","485","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_job_b_audit.py"
"2026-05-11 13:08","24790","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_reverify_log.txt"
"2026-05-11 13:05","21053","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\whitepapers\PAPER_557_BSFG_Symmetry_Group_Isometry_Analysis.md"
"2026-05-11 13:05","420210","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\pdf\PAPER_557_BSFG_Symmetry_Group_Isometry_Analysis.pdf"
"2026-05-11 13:05","17484","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\whitepapers\PAPER_576_UQFF_Atomic_Mass_Error_Factor_Standard_Model_Validation.md"
"2026-05-11 13:05","387826","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\pdf\PAPER_576_UQFF_Atomic_Mass_Error_Factor_Standard_Model_Validation.pdf"
"2026-05-11 13:00","22896","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\whitepapers\PAPER_164_HighEnergy_Dataset_UQFF_Validation_CERN_GWOSC_EHT_Chandra.md"
"2026-05-11 13:00","427124","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\pdf\PAPER_164_HighEnergy_Dataset_UQFF_Validation_CERN_GWOSC_EHT_Chandra.pdf"
"2026-05-11 12:59","798","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_reverify_all.py"
"2026-05-11 12:59","9819","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\_reverify_list.txt"
"2026-05-11 10:08","18512","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\whitepapers\PAPER_569_Olbers_EBL_Benchmark_3p1e-6_Validation.md"
"2026-05-11 10:08","18813","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\whitepapers\PAPER_566_AldersOlbers_BSFG_Metric_GapAnalysis.md"
"2026-05-11 10:08","29024","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\whitepapers\PAPER_613_UQFF_NASA_ATP_Grant_Framework_Validation.md"
"2026-05-11 10:08","24166","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\whitepapers\PAPER_422_UQFF_29System_CrossValidation_Matrix.md"
"2026-05-11 10:08","18979","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\whitepapers\PAPER_426_UA_SCm_JWST_ALMA_CERN_Validation_Table.md"
"2026-05-11 10:08","16033","C:\Users\tmsjd\source\repos\Daniel8Murphy0007\Star-Magic\whitepapers\PAPER_510_GW150914_LIGO_BinaryBH_UQFF_Validation.md"
