z_m,Z_UQFF,xi_m,U_m_J,g_YM
1.000000e-12,1.095410e-304,2.584136e+02,3.869765e+12,1.175408e-07
1.010000e-10,1.095410e-304,2.584136e+02,3.869765e+12,1.175408e-07
2.010000e-10,1.095410e-304,2.584136e+02,3.869765e+12,1.175408e-07
3.010000e-10,1.095410e-304,2.584136e+02,3.869765e+12,1.175408e-07
4.010000e-10,1.095410e-304,2.584136e+02,3.869765e+12,1.175408e-07
5.010000e-10,1.095410e-304,2.584136e+02,3.869765e+12,1.175408e-07
6.010000e-10,1.095410e-304,2.584136e+02,3.869765e+12,1.175408e-07
7.010000e-10,1.095410e-304,2.584136e+02,3.869765e+12,1.175408e-07
8.010000e-10,1.095410e-304,2.584136e+02,3.869765e+12,1.175408e-07
9.010000e-10,1.095410e-304,2.584136e+02,3.869765e+12,1.175408e-07
