"Class","File"
"ScientificCalculatorDialog","source1.cpp"
"RamanujanCalculatorDialog","source1.cpp"
"CalculusButtonField","source1.cpp"
"BrowserWindow","source1.cpp"
"MainWindow","source1.cpp"
"PhysicsTerm","source100.cpp"
"DynamicVacuumTerm","source100.cpp"
"QuantumCouplingTerm","source100.cpp"
"HeavisideFractionModule","source100.cpp"
"HeliosphereThicknessModule","source101.cpp"
"UgIndexModule","source102.cpp"
"InertiaCouplingModule","Source103.cpp"
"MagneticMomentModule","source104.cpp"
"GalacticBlackHoleModule","source105.cpp"
"NegativeTimeModule","source106.cpp"
"PiConstantModule","source107.cpp"
"CorePenetrationModule","source108.cpp"
"QuasiLongitudinalModule","source109.cpp"
"OuterFieldBubbleModule","source110.cpp"
"ReciprocationDecayModule","source111.cpp"
"ScmPenetrationModule","source112.cpp"
"ScmReactivityDecayModule","source113.cpp"
"SolarCycleFrequencyModule","source114.cpp"
"SolarWindModulationModule","Source115.cpp"
"SolarWindVelocityModule","source116.cpp"
"StellarMassModule","source117.cpp"
"StellarRotationModule","source118.cpp"
"StepFunctionModule","Source119.cpp"
"SymEngineAllocator","source12.cpp"
"Units","source12.cpp"
"MathErrorListener","source12.cpp"
"SymEngineVisitor","source12.cpp"
"VarCollectorVisitor","source12.cpp"
"MathHighlighter","source12.cpp"
"DraggableButton","source12.cpp"
"InsertCommand","source12.cpp"
"MacroCommand","source12.cpp"
"ControlPointItem","source12.cpp"
"EquationSuggestModel","source12.cpp"
"PerlinNoise","source12.cpp"
"StressEnergyTensorModule","source120.cpp"
"SurfaceMagneticFieldModule","source121.cpp"
"SurfaceTemperatureModule","Source122.cpp"
"TimeReversalZoneModule","source123.cpp"
"Ug1DefectModule","source124.cpp"
"Ug3DiskVectorModule","source125.cpp"
"AetherVacuumDensityModule","source126.cpp"
"UniversalInertiaVacuumModule","source127.cpp"
"ScmVacuumDensityModule","source128.cpp"
"UaVacuumDensityModule","source129.cpp"
"MagnetarSGR1745_2900","source13.cpp"
"ScmVelocityModule","source131.cpp"
"ButterflyNebulaUQFFModule","source132.cpp"
"CentaurusAUQFFModule","source133.cpp"
"Abell2256UQFFModule","source134.cpp"
"ASASSN14liUQFFModule","source135.cpp"
"CrabNebulaUQFFModule","source137.cpp"
"ElGordoUQFFModule","source138.cpp"
"ESO137UQFFModule","Source139.cpp"
"VacuumEnergyTerm","Source13_Enhanced.cpp"
"QuantumEntanglementTerm","Source13_Enhanced.cpp"
"MagnetarSGR1745_2900_Enhanced","Source13_Enhanced.cpp"
"MagnetarSGR0501_4516","source14.cpp"
"IC2163UQFFModule","source140.cpp"
"J1610UQFFModule","source141.cpp"
"JupiterAuroraeUQFFModule","source142.cpp"
"LagoonNebulaUQFFModule","Source143.cpp"
"M87JetUQFFModule","source145.cpp"
"NGC1365UQFFModule","source146.cpp"
"NGC2207UQFFModule","source147.cpp"
"RAquariiUQFFModule","source148.cpp"
"SgrAStarUQFFModule","source149.cpp"
"SMBHSgrAStar","source15.cpp"
"SPTCLJ2215UQFFModule","source150.cpp"
"StephanQuintetUQFFModule","source151.cpp"
"VelaPulsarUQFFModule","source152.cpp"
"HydrogenResonanceUQFFModule","Source154.cpp"
"UQFFBuoyancyModule","Source155.cpp"
"UQFFBuoyancyCNBModule","Source156.cpp"
"UQFFBuoyancyModule157","Source157.cpp"
"StarbirthTapestry","source16.cpp"
"UQFFBuoyancyAstroModule","Source161.cpp"
"AstroSystemsUQFFModule","Source163.cpp"
"Source163Integration","source163_main1_integration.cpp"
"UQFFNebulaTriadicModule","Source164.cpp"
"UQFF8AstroSystemsModule","Source166.cpp"
"UQFFCoreModule","Source167.cpp"
"UQFFSystem","Source167.cpp"
"UQFFBuoyancyCore","source168.cpp"
"UQFFBuoyancySystem","source168.cpp"
"UQFFCassiniCore","source169.cpp"
"UQFFCassiniSystem","source169.cpp"
"Westerlund2","source17.cpp"
"UQFFMultiAstroCore","source170.cpp"
"UQFFMultiAstroSystem","source170.cpp"
"UQFFEightAstroCore","source171.cpp"
"UQFFEightAstroSystem","source171.cpp"
"EightAstroSystemsModule_SOURCE114","source171.cpp"
"PhysicsTerm_S115","source172.cpp"
"UQFFNineteenAstroCore_S115","source172.cpp"
"UQFFNineteenAstroSystem_S115","source172.cpp"
"NineteenAstroSystemsModule_SOURCE115","source172.cpp"
"PI_Infinity_Decoder_S116","source173.cpp"
"WolframFieldUnityEngine_S116","source173.cpp"
"WolframFieldUnityModule_SOURCE116","source173.cpp"
"PillarsOfCreation","source18.cpp"
"RingsOfRelativity","source19.cpp"
"GalaxyNGC2525","source20.cpp"
"NGC3603","source21.cpp"
"BubbleNebula","source22.cpp"
