"Term","Class","Method","File"
"Source10::compute_F_U_Bi_i","Source10","compute_F_U_Bi_i","source10.cpp"
"Source10::compute_g_UQFF","Source10","compute_g_UQFF","source10.cpp"
"Source10::compute_DPM_resonance","Source10","compute_DPM_resonance","source10.cpp"
"Source10::compute_E_cm","Source10","compute_E_cm","source10.cpp"
"HeavisideFractionModule::computeHeavisideFactor","HeavisideFractionModule","computeHeavisideFactor","source100.cpp"
"HeavisideFractionModule::computeUmBase","HeavisideFractionModule","computeUmBase","source100.cpp"
"HeavisideFractionModule::computeUmContribution","HeavisideFractionModule","computeUmContribution","source100.cpp"
"HeavisideFractionModule::computeF_Heaviside","HeavisideFractionModule","computeF_Heaviside","source100.cpp"
"HeavisideFractionModule::computeUmWithNoHeaviside","HeavisideFractionModule","computeUmWithNoHeaviside","source100.cpp"
"HeliosphereThicknessModule::computeH_SCm","HeliosphereThicknessModule","computeH_SCm","source101.cpp"
"HeliosphereThicknessModule::computeU_g2","HeliosphereThicknessModule","computeU_g2","source101.cpp"
"HeliosphereThicknessModule::computeU_g2_no_H","HeliosphereThicknessModule","computeU_g2_no_H","source101.cpp"
"UgIndexModule::computeAllKUgi","UgIndexModule","computeAllKUgi","source102.cpp"
"UgIndexModule::computeU_gi","UgIndexModule","computeU_gi","source102.cpp"
"UgIndexModule::computeK_i","UgIndexModule","computeK_i","source102.cpp"
"UgIndexModule::computeKUgi","UgIndexModule","computeKUgi","source102.cpp"
"UgIndexModule::computeSumKUgi","UgIndexModule","computeSumKUgi","source102.cpp"
"InertiaCouplingModule::computeAllInertiaTerms","InertiaCouplingModule","computeAllInertiaTerms","Source103.cpp"
"InertiaCouplingModule::computeLambda_i","InertiaCouplingModule","computeLambda_i","Source103.cpp"
"InertiaCouplingModule::computeU_i","InertiaCouplingModule","computeU_i","Source103.cpp"
"InertiaCouplingModule::computeInertiaTerm","InertiaCouplingModule","computeInertiaTerm","Source103.cpp"
"InertiaCouplingModule::computeSumInertiaTerms","InertiaCouplingModule","computeSumInertiaTerms","Source103.cpp"
"MagneticMomentModule::computeMu_j","MagneticMomentModule","computeMu_j","source104.cpp"
"MagneticMomentModule::computeUmContrib","MagneticMomentModule","computeUmContrib","source104.cpp"
"MagneticMomentModule::computeB_j","MagneticMomentModule","computeB_j","source104.cpp"
"MagneticMomentModule::computeUg3Contrib","MagneticMomentModule","computeUg3Contrib","source104.cpp"
"GalacticBlackHoleModule::computeM_bhInMsun","GalacticBlackHoleModule","computeM_bhInMsun","source105.cpp"
