# Star-Magic Celestial Bodies Database
# Format: name,Ms,Rs,Rb,Ts_surface,omega_s,Bs_avg,SCm_density,QUA,Pcore,PSCm,omega_c
# Units: kg, m, m, K, rad/s, T, kg/m³, C, dimensionless, dimensionless, rad/s
# Watermark: ©2025-2026 Daniel T. Murphy, daniel.murphy00@gmail.com – All Rights Reserved

name,Ms,Rs,Rb,Ts_surface,omega_s,Bs_avg,SCm_density,QUA,Pcore,PSCm,omega_c
Sun,1.989e30,6.96e8,1.496e13,5778.0,2.5e-6,1e-4,1e15,1e-11,1.0,1.0,1.811e-8
Earth,5.972e24,6.371e6,1e7,288.0,7.292e-5,3e-5,1e12,1e-12,1e-3,1e-3,1.991e-7
Jupiter,1.898e27,6.9911e7,1e8,165.0,1.76e-4,4e-4,1e13,1e-11,1e-3,1e-3,1.678e-8
Saturn,5.683e26,5.8232e7,8e7,134.0,1.64e-4,2e-5,1e12,1e-12,1e-3,1e-3,6.759e-9
Mars,6.417e23,3.3895e6,5e6,210.0,7.088e-5,1e-6,1e10,1e-14,1e-4,1e-4,1.059e-7
Venus,4.867e24,6.0518e6,1e7,737.0,2.99e-7,1e-8,1e11,1e-13,1e-3,1e-3,8.135e-8
Mercury,3.301e23,2.4397e6,3e6,440.0,1.24e-6,1e-7,1e9,1e-15,1e-4,1e-4,2.266e-7
Neptune,1.024e26,2.4622e7,5e7,72.0,1.08e-4,1e-4,1e11,1e-13,1e-3,1e-3,1.209e-9
Uranus,8.681e25,2.5362e7,4e7,76.0,1.01e-4,5e-5,1e11,1e-13,1e-3,1e-3,2.369e-9
Proxima_Centauri,2.446e29,2.15e8,5e10,3042.0,3.2e-6,6e-1,1e16,1e-10,1.0,1.0,5.5e-7
Alpha_Centauri_A,2.187e30,8.513e8,2e13,5790.0,2.3e-6,1e-4,1e15,1e-11,1.0,1.0,1.5e-8
Sirius_A,4.018e30,1.19e9,3e13,9940.0,1.6e-5,5e-4,1e16,1e-10,1.0,1.0,2.0e-8
Betelgeuse,2.188e31,7.48e11,1e15,3600.0,4.6e-9,1e-6,1e14,1e-12,1.0,1.0,1.4e-10
Neutron_Star_PSR,2.8e30,1e4,1e3,1e6,1000.0,1e8,1e20,1e-15,1.0,1.0,6.28e3
Sgr_A_Star,8.155e36,1.2e10,1e12,1e7,1e-10,1e-12,1e25,1e-20,1.0,1.0,1e-15
Moon,7.342e22,1.7374e6,1e5,250.0,2.6617e-6,1e-9,1e8,1e-16,1e-5,1e-5,2.6617e-6
Pluto,1.303e22,1.188e6,1e6,44.0,1.139e-5,1e-10,1e7,1e-17,1e-6,1e-6,1.139e-5
Ceres,9.393e20,4.73e5,1e5,168.0,1.923e-4,1e-11,1e6,1e-18,1e-6,1e-6,1.923e-4
White_Dwarf_Sirius_B,2.028e30,5.8e6,1e8,2.5e4,2.5e-3,1e3,1e18,1e-14,1.0,1.0,1e-5
Magnetar_SGR_1806,2.8e30,1e4,1e3,1e7,0.134,1e11,1e22,1e-16,1.0,1.0,0.84
Pulsar_Crab,2.8e30,1e4,1e3,1e6,190.0,1e8,1e20,1e-15,1.0,1.0,1.194e3
TRAPPIST_1,1.79e29,8.4e7,5e10,2566.0,3.3e-6,6e-2,1e15,1e-11,1.0,1.0,3.3e-6
# === UQFF Extended Catalogue (Source10 Systems) ===
SGR_1745-2900,2.78449e30,1e4,1e5,1e7,0.283,2e10,1e21,1e-16,1.0,1.0,1.78
Vela_Pulsar,2.78449e30,1e4,1e5,1e6,70.4,1e8,1e20,1e-15,1.0,1.0,442.5
Eta_Carinae,1.09391e32,1.32e10,5e12,2.5e4,1e-7,1e-2,1e17,1e-12,1.0,1.0,1e-9
GW170817,5.37008e30,2e4,1e6,1e8,1e3,1e10,1e21,1e-15,1.0,1.0,6.28e3
Cas_A,7.95568e30,1.54e17,1e18,1e7,1e-10,1e-6,1e14,1e-18,1e-2,1e-2,1e-12
