ID,name,category,status,script_exists,has_predicted,has_observed,predicted,observed,error_pct,tier,confirmed_level1
,,ORPHAN_DUPLICATE,OK,NO,YES,YES,9.683507e-01,9.683068e-01,4.533113e-03,<0.01%,NO
,,ORPHAN_DUPLICATE,OK,NO,YES,YES,6.847004e-01,6.847000e-01,6.359869e-05,<0.01%,NO
,,ORPHAN_DUPLICATE,OK,NO,YES,YES,3.152996e-01,3.153000e-01,-1.381098e-04,<0.01%,NO
,,ORPHAN_DUPLICATE,SUPERSEDED,NO,YES,YES,-1.458333e-04,-4.287500e-05,2.401361e+02,>=1%,NO
,,ORPHAN_DUPLICATE,CE_strict,NO,YES,YES,1.206000e-01,1.206000e-01,4.508468e-07,<0.01%,NO
,,ORPHAN_DUPLICATE,EXACT,NO,YES,YES,6.000000e-02,6.000000e-02,0.000000e+00,EXACT,NO
,,OPEN_PREDICTION,OPEN_PREDICTIONS,NO,YES,YES,9999,9999,9999,>=1%,NO
,,ORPHAN_DUPLICATE,CE,NO,YES,YES,3.147898e-01,3.153000e-01,-1.618196e-01,<0.01%,NO
,,ORPHAN_DUPLICATE,EXACT,NO,YES,YES,6.000000e-02,6.000000e-02,0.000000e+00,EXACT,NO
,,ORPHAN_DUPLICATE,CE_strict,NO,YES,YES,1.429700e-01,1.430000e-01,-2.097902e-02,<0.01%,NO
,,ORPHAN_DUPLICATE,CE_strict,NO,YES,YES,6.441853e-04,6.441915e-04,-9.746721e-04,<0.01%,NO
,,ORPHAN_DUPLICATE,EXACT,NO,YES,YES,3.800000e-01,3.800000e-01,0.000000e+00,EXACT,NO
,,OPEN_PREDICTION,OPEN_PREDICTIONS,NO,YES,YES,9999,9999,9999,>=1%,NO
,,ORPHAN_DUPLICATE,OK,NO,YES,YES,9.683507e-01,9.683068e-01,4.533113e-03,<0.01%,NO
,,ORPHAN_DUPLICATE,OK,NO,YES,YES,6.847004e-01,6.847000e-01,6.359869e-05,<0.01%,NO
,,ORPHAN_DUPLICATE,OK,NO,YES,YES,3.152996e-01,3.153000e-01,-1.381098e-04,<0.01%,NO
,,ORPHAN_DUPLICATE,SUPERSEDED,NO,YES,YES,-1.458333e-04,-4.287500e-05,2.401361e+02,>=1%,NO
,,ORPHAN_DUPLICATE,CE_strict,NO,YES,YES,1.206000e-01,1.206000e-01,4.508468e-07,<0.01%,NO
,,ORPHAN_DUPLICATE,EXACT,NO,YES,YES,6.000000e-02,6.000000e-02,0.000000e+00,EXACT,NO
,,OPEN_PREDICTION,OPEN_PREDICTIONS,NO,YES,YES,9999,9999,9999,>=1%,NO
,,ORPHAN_DUPLICATE,CE,NO,YES,YES,3.147898e-01,3.153000e-01,-1.618196e-01,<0.01%,NO
,,ORPHAN_DUPLICATE,EXACT,NO,YES,YES,6.000000e-02,6.000000e-02,0.000000e+00,EXACT,NO
,,ORPHAN_DUPLICATE,CE_strict,NO,YES,YES,1.429700e-01,1.430000e-01,-2.097902e-02,<0.01%,NO
,,ORPHAN_DUPLICATE,CE_strict,NO,YES,YES,6.441853e-04,6.441915e-04,-9.746721e-04,<0.01%,NO
,,ORPHAN_DUPLICATE,EXACT,NO,YES,YES,3.800000e-01,3.800000e-01,0.000000e+00,EXACT,NO
,,OPEN_PREDICTION,OPEN_PREDICTIONS,NO,YES,YES,9999,9999,9999,>=1%,NO
201,closures,DERIVATION_FIRST_PRINCIPLES,OK,YES,YES,YES,0,0,0,EXACT,YES
202,closures,DERIVATION_FIRST_PRINCIPLES,OK,YES,YES,YES,1760,1760,0,EXACT,YES
203,closures,DERIVATION_FIRST_PRINCIPLES,OK,YES,YES,YES,0,0,0,EXACT,YES
204,closures,DERIVATION_FIRST_PRINCIPLES,OK,YES,YES,YES,0.870550563296,0.870550563296,0,EXACT,YES
205,closures,DERIVATION_FIRST_PRINCIPLES,OK,YES,YES,YES,31.6172,31.6172,0,EXACT,YES
206,qcalcgeom_ubs_closures,DERIVATION_FIRST_PRINCIPLES,OK,YES,YES,YES,4,4,0,EXACT,YES
207,cp_chain_closures,DERIVATION_FIRST_PRINCIPLES,OK,YES,YES,YES,0.25,0.25,0,EXACT,YES
208,wolfram_kb_primitives,DERIVATION_FIRST_PRINCIPLES,OK,YES,YES,YES,144000,144000,0,EXACT,YES
209,nuclear_resonance_primitives,DERIVATION_FIRST_PRINCIPLES,OK,YES,YES,YES,7,7,0,EXACT,YES
210,closures,DERIVATION_FIRST_PRINCIPLES,OK,YES,YES,YES,22,22,0,EXACT,YES
211,closures,DERIVATION_FIRST_PRINCIPLES,OK,YES,YES,YES,8,8,0,EXACT,YES
261,audit,DERIVATION_FIRST_PRINCIPLES,OK_JSON,YES,YES,YES,1410473958869.3906,1410437235543.0183,0.0026036838397970946,<0.01%,YES
261,closures,DERIVATION_FIRST_PRINCIPLES,OK,YES,YES,NO,1.8765,,5.42,>=1%,NO
262,closures,DERIVATION_FIRST_PRINCIPLES,OK,YES,NO,NO,,,0.0195,0.01-0.1%,NO
263,closures,DERIVATION_FIRST_PRINCIPLES,OK,YES,NO,NO,,,4.8658,>=1%,NO
264,closures,DERIVATION_FIRST_PRINCIPLES,OK,YES,NO,NO,,,0.671,0.1-1%,NO
265,grok_rebuttals,DERIVATION_FIRST_PRINCIPLES,OK,YES,NO,NO,,,0.0195,0.01-0.1%,NO
266,root_closure,DERIVATION_FIRST_PRINCIPLES,OK,YES,NO,NO,,,0,EXACT,NO
267,extended_closures,DERIVATION_FIRST_PRINCIPLES,OK,YES,NO,NO,,,0.0443,0.01-0.1%,NO
268,gap_closures,DERIVATION_FIRST_PRINCIPLES,OK,YES,NO,NO,,,0.0886,0.01-0.1%,NO
269,full_cascade,DERIVATION_FIRST_PRINCIPLES,OK_JSON,YES,YES,YES,300000000.0,299792458.0,0.06922855944561487,0.01-0.1%,YES
270,271_calibrated_and_open,OPEN_PREDICTION_PENDING_CALIBRATION,SUPERSEDED,YES,NO,NO,,,127.577,>=1%,NO
272,forward_predictions,DERIVATION_FIRST_PRINCIPLES,OK_JSON,YES,YES,YES,123.62949577528089,125.25,1.293815748278733,>=1%,YES
273,lambda_hierarchy,DERIVATION_FIRST_PRINCIPLES,OK,YES,NO,NO,,,9.31,>=1%,NO
274,beta_lambda_closure,DERIVATION_FIRST_PRINCIPLES,OK,YES,NO,NO,,,0.0466,0.01-0.1%,NO
275,mp_planck_closure,DERIVATION_FIRST_PRINCIPLES,OK,YES,NO,NO,,,0.0814,0.01-0.1%,NO
276,chandrasekhar_closure,DERIVATION_FIRST_PRINCIPLES,OK,YES,NO,NO,,,1.08,>=1%,NO
277,beta_i_hunt,DERIVATION_FIRST_PRINCIPLES,OK,YES,YES,NO,0.602802,,0.0004,<0.01%,NO
277,uqff_gap_patches,DERIVATION_FIRST_PRINCIPLES,OK,YES,YES,YES,21,21,0,EXACT,YES
278,dpm_layer_counter,DERIVATION_FIRST_PRINCIPLES,OK,YES,YES,YES,11,11,0,EXACT,YES
278,me_closure,DERIVATION_FIRST_PRINCIPLES,OK,YES,YES,NO,3.77028,,0.3263,0.1-1%,NO
279,mu_tau_closure,DERIVATION_FIRST_PRINCIPLES,OK,YES,YES,NO,8.38906,,0.224,0.1-1%,NO
279,um_heaviside_amplifier,DERIVATION_FIRST_PRINCIPLES,OK,YES,YES,YES,12,12,0,EXACT,YES
