"File","Size","Lines","HasMain","HasClass","ClassName","HasComplex","HasUQFF","Includes","Comments"
"integration_example.cpp","17106","417","True","True","DarkMatterHaloTerm","False","True","7","=================================================="
"MAIN_1.cpp","129527","1444","False","False","","False","True","7","Define PI for compatibility across compilers"
"source1.cpp","45192","1030","False","True","ScientificCalculatorDialog","False","False","44","Structure for search results"
"source10.cpp","275810","2749","False","False","","False","True","22","UQFFSource10.cpp: Source file for UQFFSource10 cla"
"source100.cpp","13586","277","False","True","PhysicsTerm","False","True","19","HeavisideFractionModule.h"
"source101.cpp","13053","267","False","True","PhysicsTerm","False","True","19","HeliosphereThicknessModule.h"
"source102.cpp","12619","277","False","True","PhysicsTerm","False","True","20","UgIndexModule.h"
"Source103.cpp","12788","264","False","True","PhysicsTerm","False","True","20","InertiaCouplingModule.h"
"source104.cpp","13288","267","False","True","PhysicsTerm","False","True","19","MagneticMomentModule.h"
"source105.cpp","12908","270","False","True","PhysicsTerm","False","True","19","GalacticBlackHoleModule.h"
"source106.cpp","13614","278","False","True","PhysicsTerm","False","True","19","NegativeTimeModule.h"
"source107.cpp","11986","256","False","True","PhysicsTerm","False","True","19","PiConstantModule.h"
"source108.cpp","11652","245","False","True","PhysicsTerm","False","True","19","CorePenetrationModule.h"
"source109.cpp","13728","279","False","True","PhysicsTerm","False","True","19","QuasiLongitudinalModule.h"
"source11.cpp","21252","471","False","False","","False","False","21",""
"source110.cpp","12919","265","False","True","PhysicsTerm","False","True","19","OuterFieldBubbleModule.h"
"source111.cpp","13693","284","False","True","PhysicsTerm","False","True","19","ReciprocationDecayModule.h"
"source112.cpp","12629","260","False","True","PhysicsTerm","False","True","19","ScmPenetrationModule.h"
"source113.cpp","12997","268","False","True","PhysicsTerm","False","True","19","ScmReactivityDecayModule.h"
"source114.cpp","11808","245","False","True","PhysicsTerm","False","True","19","SolarCycleFrequencyModule.h"
"Source115.cpp","13214","273","False","True","PhysicsTerm","False","True","19","SolarWindModulationModule.h"
"source116.cpp","13255","274","False","True","PhysicsTerm","False","True","19","SolarWindVelocityModule.h"
"source117.cpp","13422","279","False","True","PhysicsTerm","False","True","19","StellarMassModule.h"
"source118.cpp","13262","274","False","True","PhysicsTerm","False","True","19","StellarRotationModule.h"
