separation_m,Delta_C,phi_shift_rad,F_UQFF,S_UQFF,S_EPR
1.000000e-12,1.059201e+01,2.095792e-09,7.855019e-01,1.386294e+01,1.386294e+00
1.001000e-09,1.059201e+01,2.097888e-06,7.855019e-01,1.386295e+01,1.386294e+00
2.001000e-09,1.059202e+01,4.193680e-06,7.855019e-01,1.386295e+01,1.386294e+00
3.001000e-09,1.059202e+01,6.289473e-06,7.855019e-01,1.386295e+01,1.386294e+00
4.001000e-09,1.059202e+01,8.385265e-06,7.855019e-01,1.386295e+01,1.386294e+00
5.001000e-09,1.059202e+01,1.048106e-05,7.855019e-01,1.386295e+01,1.386294e+00
6.001000e-09,1.059202e+01,1.257685e-05,7.855019e-01,1.386296e+01,1.386294e+00
7.001000e-09,1.059202e+01,1.467264e-05,7.855019e-01,1.386296e+01,1.386294e+00
8.001000e-09,1.059203e+01,1.676843e-05,7.855019e-01,1.386296e+01,1.386294e+00
9.001000e-09,1.059203e+01,1.886423e-05,7.855019e-01,1.386296e+01,1.386294e+00
