Mass_kg,S_UQFF,S_EPR_2qubits,ER_equals_EPR,T_H_K,T_eff_K
1.000000e+20,1.067747e-271,6.931472e-01,NO,1.226993e+03,1.000000e+16
1.000000e+29,1.067747e-253,6.931472e-01,NO,1.226993e-06,1.000000e+16
2.000000e+29,4.270987e-253,6.931472e-01,NO,6.134966e-07,1.000000e+16
3.000000e+29,9.609721e-253,6.931472e-01,NO,4.089977e-07,1.000000e+16
4.000000e+29,1.708395e-252,6.931472e-01,NO,3.067483e-07,1.000000e+16
5.000000e+29,2.669367e-252,6.931472e-01,NO,2.453986e-07,1.000000e+16
6.000000e+29,3.843888e-252,6.931472e-01,NO,2.044989e-07,1.000000e+16
7.000000e+29,5.231959e-252,6.931472e-01,NO,1.752847e-07,1.000000e+16
8.000000e+29,6.833579e-252,6.931472e-01,NO,1.533742e-07,1.000000e+16
9.000000e+29,8.648749e-252,6.931472e-01,NO,1.363326e-07,1.000000e+16
