time,omega,h_standard,h_UQFF,ratio
0.000000e+00,2.627374e+02,1.440154e-21,1.291381e-21,8.966964e-01
1.000000e-04,2.632685e+02,1.440095e-21,1.298291e-21,9.015315e-01
2.000000e-04,2.638036e+02,1.436015e-21,1.281414e-21,8.923398e-01
3.000000e-04,2.643427e+02,1.427864e-21,1.287766e-21,9.018824e-01
4.000000e-04,2.648858e+02,1.415604e-21,1.278533e-21,9.031712e-01
5.000000e-04,2.654330e+02,1.399208e-21,1.252342e-21,8.950367e-01
6.000000e-04,2.659845e+02,1.378659e-21,1.234787e-21,8.956438e-01
7.000000e-04,2.665401e+02,1.353953e-21,1.224098e-21,9.040919e-01
8.000000e-04,2.671000e+02,1.325099e-21,1.200262e-21,9.057902e-01
9.000000e-04,2.676643e+02,1.292118e-21,1.161525e-21,8.989309e-01
1.000000e-03,2.682329e+02,1.255043e-21,1.132128e-21,9.020632e-01
1.100000e-03,2.688061e+02,1.213921e-21,1.103247e-21,9.088294e-01
1.200000e-03,2.693837e+02,1.168813e-21,1.041648e-21,8.912012e-01
1.300000e-03,2.699659e+02,1.119794e-21,1.016144e-21,9.074385e-01
1.400000e-03,2.705527e+02,1.066953e-21,9.686824e-22,9.078964e-01
1.500000e-03,2.711443e+02,1.010392e-21,9.179000e-22,9.084596e-01
1.600000e-03,2.717406e+02,9.502288e-22,8.592988e-22,9.043073e-01
1.700000e-03,2.723418e+02,8.865965e-22,7.915170e-22,8.927591e-01
1.800000e-03,2.729478e+02,8.196416e-22,7.381711e-22,9.006024e-01
1.900000e-03,2.735588e+02,7.495258e-22,6.803155e-22,9.076612e-01
2.000000e-03,2.741749e+02,6.764257e-22,6.123627e-22,9.052920e-01
2.100000e-03,2.747961e+02,6.005323e-22,5.356105e-22,8.918929e-01
2.200000e-03,2.754225e+02,5.220514e-22,4.740551e-22,9.080620e-01
2.300000e-03,2.760542e+02,4.412030e-22,3.947027e-22,8.946055e-01
2.400000e-03,2.766912e+02,3.582214e-22,3.197306e-22,8.925501e-01
2.500000e-03,2.773336e+02,2.733546e-22,2.463477e-22,9.012018e-01
2.600000e-03,2.779815e+02,1.868641e-22,1.688877e-22,9.037997e-01
2.700000e-03,2.786351e+02,9.902456e-23,8.953277e-23,9.041471e-01
2.800000e-03,2.792942e+02,1.012309e-23,9.089018e-24,8.978502e-01
2.900000e-03,2.799592e+02,-7.954119e-23,-7.197231e-23,9.048432e-01
3.000000e-03,2.806300e+02,-1.696578e-22,-1.530122e-22,9.018871e-01
3.100000e-03,2.813067e+02,-2.599057e-22,-2.352082e-22,9.049751e-01
3.200000e-03,2.819894e+02,-3.499541e-22,-3.144622e-22,8.985814e-01
3.300000e-03,2.826782e+02,-4.394630e-22,-3.981340e-22,9.059557e-01
3.400000e-03,2.833733e+02,-5.280848e-22,-4.747372e-22,8.989790e-01
3.500000e-03,2.840747e+02,-6.154647e-22,-5.590416e-22,9.083244e-01
3.600000e-03,2.847824e+02,-7.012422e-22,-6.356868e-22,9.065153e-01
3.700000e-03,2.854967e+02,-7.850522e-22,-7.123886e-22,9.074412e-01
3.800000e-03,2.862176e+02,-8.665261e-22,-7.733176e-22,8.924342e-01
3.900000e-03,2.869452e+02,-9.452937e-22,-8.448876e-22,8.937832e-01
