T_K,T_c_UQFF_K,Delta_UQFF_J,S_UQFF,sigma_dc,phase
5.000000e+01,1.100000e+02,0.000000e+00,1.309752e+02,7.385489e-01,SUPERCONDUCTING
6.000000e+01,1.100000e+02,0.000000e+00,1.309752e+02,6.741999e-01,SUPERCONDUCTING
7.000000e+01,1.100000e+02,0.000000e+00,1.309752e+02,6.030227e-01,SUPERCONDUCTING
8.000000e+01,1.100000e+02,0.000000e+00,1.309752e+02,5.222330e-01,SUPERCONDUCTING
9.000000e+01,1.100000e+02,0.000000e+00,1.309752e+02,4.264014e-01,SUPERCONDUCTING
1.000000e+02,1.100000e+02,0.000000e+00,1.309752e+02,3.015113e-01,SUPERCONDUCTING
1.100000e+02,1.100000e+02,0.000000e+00,1.309752e+02,1.136616e-08,SUPERCONDUCTING
1.200000e+02,1.100000e+02,0.000000e+00,1.309752e+02,0.000000e+00,NORMAL
1.300000e+02,1.100000e+02,0.000000e+00,1.309752e+02,0.000000e+00,NORMAL
1.400000e+02,1.100000e+02,0.000000e+00,1.309752e+02,0.000000e+00,NORMAL
1.500000e+02,1.100000e+02,0.000000e+00,1.309752e+02,0.000000e+00,NORMAL
