file,classes,functions,constants,wolfram_terms,total,sample_classes,sample_functions,sample_constants
Source103.cpp,4,16,0,0,20,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, InertiaCouplingModule","compute, getName, getDescription, compute, getName",
Source115.cpp,4,15,0,0,19,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, SolarWindModulationModule","compute, getName, getDescription, compute, getName",
Source119.cpp,4,13,0,0,17,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, StepFunctionModule","compute, getName, getDescription, compute, getName",
Source122.cpp,4,14,0,0,18,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, SurfaceTemperatureModule","compute, getName, getDescription, compute, getName",
Source139.cpp,4,13,0,0,17,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, ESO137UQFFModule","compute, getName, getDescription, compute, getName",
Source13_Enhanced.cpp,4,45,0,0,49,"PhysicsTerm, VacuumEnergyTerm, QuantumEntanglementTerm, MagnetarSGR1745_2900_Enhanced","compute, getName, getDescription, compute, getName",
Source143.cpp,4,13,0,0,17,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, LagoonNebulaUQFFModule","compute, getName, getDescription, compute, getName",
Source154.cpp,3,24,0,0,27,"HydrogenResonanceUQFFModule, SurfaceMagneticFieldModule, SurfaceMagneticFieldModule","updateVariable, addToVariable, subtractFromVariable, computeCompressedG, getEquationText",
Source155.cpp,2,11,0,0,13,"UQFFBuoyancyModule, SurfaceMagneticFieldModule","computeG, setSystemParams, updateVariable, addToVariable, subtractFromVariable",
Source156.cpp,5,31,0,0,36,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, UQFFBuoyancyCNBModule, SurfaceMagneticFieldModule","compute, getName, getDescription, compute, getName",
Source157.cpp,5,35,0,0,40,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, UQFFBuoyancyModule157, SurfaceMagneticFieldModule","compute, getName, getDescription, compute, getName",
Source158.cpp,14,61,0,0,75,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, UQFFBuoyancyModule, SurfaceMagneticFieldModule","compute, getName, getDescription, compute, getName",
Source159.cpp,6,40,0,0,46,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, UQFFBuoyancyModule, SurfaceMagneticFieldModule","compute, getName, getDescription, compute, getName",
Source160.cpp,1,9,0,0,10,UQFFBuoyancyModule,"computeG, setSystemParams, updateVariable, addToVariable, subtractFromVariable",
Source161.cpp,4,15,0,0,19,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, UQFFBuoyancyAstroModule","compute, getName, getDescription, compute, getName",
Source162.cpp,4,14,0,0,18,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, UQFFBuoyancyCNBModule","compute, getName, getDescription, compute, getName",
Source163.cpp,2,13,0,0,15,"AstroStatistics, AstroSystemsUQFFModule","setSystemParams, updateVariable, addToVariable, subtractFromVariable, computeCompressedG",
Source164.cpp,2,13,0,0,15,"NebulaStatistics, UQFFNebulaTriadicModule","setSystemParams, updateVariable, addToVariable, subtractFromVariable, computeCompressedG",
