Equation,Result,Unit,Description
Ug1,100114500.0,m/s²,
Ug2,79290683.99999999,m/s²,
Ug3,120137399.99999999,m/s²,
Ug4,66742999.99999999,m/s²,
Ug,366285584.0,m/s²,
Ug1_enhanced,109030178.48896919,m/s²,
Ug2_enhanced,0.0,m/s²,
Ug3_enhanced,-11539.59808783778,m/s²,
Ug4_enhanced,2.4278577996860626e+24,m/s²,
Ug_enhanced_total,2.4278577996860626e+24,m/s²,
Um,9.999999999999998e+16,J/m³,
magnetic_moment,4.694345412442819e+19,T·m³,
Um_total,16214224410263.205,T,
Ub1,-0.014719902635379098,m/s²,
Ub2,-0.008700121557627049,m/s²,
Ub3,-0.008788001573360654,m/s²,
Ub4,-0.0024411115481557375,m/s²,
Ub_total,-0.03464913731452254,m/s²,
stress_energy_tensor,109753433.57000002,kg/m³ c²,
metric_perturbation,1.0975343357000003e-14,dimensionless,
aether_metric,1.0000000000000109,dimensionless,
metric_determinant,-1.0000000000000215,dimensionless,
