Equation,Result,Unit,Description
Ug1,100114500.0,m/s²,
Ug2,79290683.99999999,m/s²,
Ug3,120137399.99999999,m/s²,
Ug4,66742999.99999999,m/s²,
Ug,366285584.0,m/s²,
Ug1_enhanced,109030178.48896919,m/s²,
Ug2_enhanced,0.0,m/s²,
Ug3_enhanced,-11539.59808783778,m/s²,
Ug4_enhanced,2.4278577996860626e+24,m/s²,
Ug_enhanced_total,2.4278577996860626e+24,m/s²,
Um,9.999999999999998e+16,J/m³,
magnetic_moment,4.694345412442819e+19,T·m³,
Um_total,16214224410263.205,T,
Ub1,-0.014719902635379098,m/s²,
Ub2,-0.008700121557627049,m/s²,
Ub3,-0.008788001573360654,m/s²,
Ub4,-0.0024411115481557375,m/s²,
Ub_total,-0.03464913731452254,m/s²,
stress_energy_tensor,109753433.57000002,kg/m³ c²,
metric_perturbation,1.0975343357000003e-14,dimensionless,
aether_metric,1.0000000000000109,dimensionless,
metric_determinant,-1.0000000000000215,dimensionless,
ricci_scalar,-1.1102230246251565e-16,m⁻²,
UQFF_Compressed,1.5232752247942326e+17,m/s²,
UQFF_Triadic,9045084777300.0,m/s²,
UQFF_Superconductive,362622728.15999997,m/s²,
UQFF_Quadratic_Plus,66742999.99999999,m/s²,
UQFF_Quadratic_Minus,0.0,m/s²,
F_U_Bi,-1.7819113531161306e-17,N,
F_U_Bi_i,-17819113.53116131,N,
26-Level Energy Structure (n=1),1e-19,J,
26-Level Energy Structure (n=2),9.999999999999999e-19,J,
26-Level Energy Structure (n=3),9.999999999999999e-18,J,
26-Level Energy Structure (n=4),1e-16,J,
26-Level Energy Structure (n=5),9.999999999999999e-16,J,
26-Level Energy Structure (n=6),1e-14,J,
26-Level Energy Structure (n=7),9.999999999999999e-14,J,
26-Level Energy Structure (n=8),1e-12,J,
26-Level Energy Structure (n=9),1e-11,J,
26-Level Energy Structure (n=10),9.999999999999999e-11,J,
26-Level Energy Structure (n=11),9.999999999999999e-10,J,
26-Level Energy Structure (n=12),1e-08,J,
26-Level Energy Structure (n=13),1e-07,J,
26-Level Energy Structure (n=14),1e-06,J,
26-Level Energy Structure (n=15),9.999999999999999e-06,J,
26-Level Energy Structure (n=16),9.999999999999999e-05,J,
26-Level Energy Structure (n=17),0.001,J,
26-Level Energy Structure (n=18),0.01,J,
26-Level Energy Structure (n=19),0.09999999999999999,J,
26-Level Energy Structure (n=20),1.0,J,
26-Level Energy Structure (n=21),10.0,J,
26-Level Energy Structure (n=22),100.0,J,
26-Level Energy Structure (n=23),999.9999999999999,J,
26-Level Energy Structure (n=24),10000.0,J,
26-Level Energy Structure (n=25),100000.0,J,
26-Level Energy Structure (n=26),1000000.0,J,
26-Level Total Energy Span,1e+25,(dimensionless ratio),
Nuclear Binding Energy Verification (n=8),0.2197253433208489,(fractional error),
E_react,1.176066466304271e+47,W/m³,
Vacuum Energy Density (λ_vac),7e-11,J/m³,
SCm Vacuum Density (λ_vac[SCm]),8.988004e+31,J/m³,
UA Vacuum Density (λ_vac[UA]),5.6471651231082e-12,J/m³,
Vacuum Energy Density (λ_vac),1.6711269024649013e-29,J/m³,
Base Gravity (Hubble + Magnetic),66743000.01454997,m/s²,
UQFF Unification (Time-Reversal),85164068.0,m/s²,
Cosmological Constant Acceleration,3.2956014666666664e-36,m/s²,
EM Acceleration (Vacuum Corrected),0.010524833473920851,m/s²,
Gravitational Wave (Spin-Down),1.3090303935444853e-13,m/s²,
Quantum Uncertainty (Heisenberg),1.4815205193352338e-34,m/s²,
Fluid Density Coupling,27957242463805.8,m/s²,
Oscillatory Wave Superposition,10806046117.362795,m/s²,
Dark Matter Perturbation,220.251911,m/s²,
Magnetic Field Decay,9.992081717097712e-06,T,
Spin Evolution (Angular Velocity),1.2562389505374778,rad/s,
Time-Reversal Factor,0.1,(dimensionless),
