Equation,Result,Unit,Description
Ug1,100114500.0,m/s²,
Ug2,79290683.99999999,m/s²,
Ug3,120137399.99999999,m/s²,
Ug4,66742999.99999999,m/s²,
Ug,366285584.0,m/s²,
Ug1_enhanced,109030178.48896919,m/s²,
Ug2_enhanced,0.0,m/s²,
Ug3_enhanced,-11539.59808783778,m/s²,
Ug_enhanced_total,109018638.89088136,m/s²,
Um,9.999999999999998e+16,J/m³,
UQFF_Compressed,-0.0,m/s²,
UQFF_Triadic,0.0,m/s²,
UQFF_Superconductive,-0.0,m/s²,
UQFF_Quadratic_Plus,67409348.56556411,m/s²,
UQFF_Quadratic_Minus,0.0,m/s²,
UQFF_Quadratic_Selected,67409348.56556411,m/s²,
F_U_Bi,-0.0,N,
F_U_Bi_i,-0.0,N,
Phase5_S52_OrionNebula,0.0,m/s^2,
Phase5_S52_LagoonNebula,0.0,m/s^2,
Phase5_S52_NGC6302,0.0,m/s^2,
Phase5_S52_SpiralsSupernovae,0.0,m/s^2,
source57_compressed,0.0,m/s²,
source57_compressed,0.0,m/s²,
source60_comprehensive,0.0,m/s²,
source60_comprehensive,0.0,m/s²,
Aether_Perturbation,1.1101270000000001e-15,dimensionless,
Resonance_MUGE_Pure,0.1,m/s²,
Buoyancy_Coupling_Beta,0.6,dimensionless,
Solar_Wind_Modulation,1.0,dimensionless,
Ug_Coupling_Constants,1.416324e+53,J/m³,
Magnetic_String_Distance,100.0,AU,
Kozima_SCm_CrossSection,1.285e-28,m^2,
Kozima_Fneutron_SCm,-51.014500000000005,N,
S26_VacuumDensitySeries,0.0,dimensionless,
Fneutron_S26_n13,0.0,N,
MockTheta_f26,5.451706404518625,dimensionless,
MockTheta_phi26,1.506561716726033,dimensionless,
MockTheta_UQFF_coupled,3.826607242395668e-36,kg/m^3,
Ramanujan_Pi_Classical,3.141592653589793,dimensionless,
Ramanujan_Pi_UQFF,3.1415926519311084,dimensionless,
Ramanujan_Pi_26D,3.141592359021532,dimensionless,
26-Level Energy Structure (n=1),1e-19,J,
26-Level Energy Structure (n=2),9.999999999999999e-19,J,
26-Level Energy Structure (n=3),9.999999999999999e-18,J,
26-Level Energy Structure (n=4),1e-16,J,
26-Level Energy Structure (n=5),9.999999999999999e-16,J,
26-Level Energy Structure (n=6),1e-14,J,
26-Level Energy Structure (n=7),9.999999999999999e-14,J,
26-Level Energy Structure (n=8),1e-12,J,
26-Level Energy Structure (n=9),1e-11,J,
26-Level Energy Structure (n=10),9.999999999999999e-11,J,
26-Level Energy Structure (n=11),9.999999999999999e-10,J,
26-Level Energy Structure (n=12),1e-08,J,
26-Level Energy Structure (n=13),1e-07,J,
26-Level Energy Structure (n=14),1e-06,J,
26-Level Energy Structure (n=15),9.999999999999999e-06,J,
26-Level Energy Structure (n=16),9.999999999999999e-05,J,
26-Level Energy Structure (n=17),0.001,J,
26-Level Energy Structure (n=18),0.01,J,
26-Level Energy Structure (n=19),0.09999999999999999,J,
26-Level Energy Structure (n=20),1.0,J,
26-Level Energy Structure (n=21),10.0,J,
26-Level Energy Structure (n=22),100.0,J,
26-Level Energy Structure (n=23),999.9999999999999,J,
26-Level Energy Structure (n=24),10000.0,J,
26-Level Energy Structure (n=25),100000.0,J,
26-Level Energy Structure (n=26),1000000.0,J,
26-Level Total Energy Span,1e+25,(dimensionless ratio),
