script,classification,predicted_print_count,evidence
_session201_closures.py,UNCLASSIFIED,0,
_session202_closures.py,PRIMITIVE_ONLY,3,
_session203_closures.py,PRIMITIVE_ONLY,5,
_session204_closures.py,UNCLASSIFIED,0,
_session205_closures.py,COMPARISON_ONLY,0,L55: codata-assign-only: r_crit_obs = 0.5  # from negative_et_erosion.py NetEnergyEquation critical_ratio
_session206_qcalcgeom_ubs_closures.py,COMPARISON_ONLY,0,L84: codata-assign-only: M_ratio_obs = 8.0
_session207_cp_chain_closures.py,UNCLASSIFIED,0,
_session208_wolfram_kb_primitives.py,UNCLASSIFIED,0,
_session209_nuclear_resonance_primitives.py,UNCLASSIFIED,0,
_session210_closures.py,PRIMITIVE_ONLY,1,
_session211_closures.py,PRIMITIVE_ONLY,8,
_session261_audit.py,SEARCH_FIT,0,"L68: search-call: hits = {label: bool(re.search(pat, text)) for pat, label in CANONICAL.items()}"
_session261_closures.py,COMPARISON_ONLY,4,L115: codata-assign-only: hbar = 1.054571817e-34
_session262_closures.py,COMPARISON_ONLY,4,L133: codata-assign-only: hbar = 1.054571817e-34
_session263_closures.py,COMPARISON_ONLY,7,L110: codata-assign-only: RHO_LAMBDA_OBS = 5.96e-10   # J/m^3 (Planck 2018)
_session264_closures.py,COMPARISON_ONLY,0,L31: codata-assign-only: rho_Lambda_obs = 2 * D_BSFG * D_phys * rho_A * f_THz
_session265_grok_rebuttals.py,COMPARISON_ONLY,4,L58: codata-assign-only: hbar  = 1.054571817e-34
_session266_root_closure.py,COMPARISON_ONLY,1,L58: codata-assign-only: hbar     = 1.054571817e-34        # J*s
_session267_extended_closures.py,UNCLASSIFIED,0,
_session268_gap_closures.py,COMPARISON_ONLY,0,"L54: codata-assign-only: m_e   = 9.1093837015e-31,    # kg"
_session269_full_cascade.py,COMPARISON_ONLY,1,L83: codata-assign-only: rho_Lambda_obs  = 5.36e-10       # J/m^3 (observed vacuum energy density)
_session270_271_calibrated_and_open.py,COMPARISON_ONLY,0,"L46: codata-assign-only: m_e = 9.1093837015e-31, m_p = 1.67262192369e-27,"
_session272_forward_predictions.py,COMPARISON_ONLY,0,L28: codata-assign-only: hbar       = 1.052632e-34
_session273_lambda_hierarchy.py,COMPARISON_ONLY,0,L19: codata-assign-only: hbar     = 1.054571817e-34   # J*s  (CODATA; S267 closure 0.18%)
_session274_beta_lambda_closure.py,COMPARISON_ONLY,1,L22: codata-assign-only: hbar     = 1.054571817e-34
_session275_mp_planck_closure.py,COMPARISON_ONLY,2,L17: codata-assign-only: hbar     = 1.054571817e-34
_session276_chandrasekhar_closure.py,COMPARISON_ONLY,1,L22: codata-assign-only: hbar     = 1.054571817e-34
_session277_beta_i_hunt.py,UNCLASSIFIED,0,
_session277_uqff_gap_patches.py,COMPARISON_ONLY,4,L141: codata-assign-only: m_p = 1.673e-27
_session278_dpm_layer_counter.py,UNCLASSIFIED,0,
_session278_me_closure.py,COMPARISON_ONLY,0,L22: codata-assign-only: hbar     = 1.054571817e-34
_session279_mu_tau_closure.py,COMPARISON_ONLY,0,"L9: codata-assign-only: m_e = 9.1093837015e-31   -log10/Planck = 22.378 -> N=22, beta=3.783 (S278)"
_session279_um_heaviside_amplifier.py,UNCLASSIFIED,0,
_session280_286_frontier_harvester.py,SEARCH_FIT,4,L52: search-call: h = HDR_RE.search(line)
_session280_ftrz_suppression.py,UNCLASSIFIED,0,
_session280_quark_closure.py,UNCLASSIFIED,0,
_session280_verify.py,COMPARISON_ONLY,0,"L15: codata-assign-only: 'u': dict(m_obs=2.16e6*eV_to_kg, N=21,"
_session281_neutrino_hunt.py,UNCLASSIFIED,0,
_session281_verify.py,UNCLASSIFIED,0,
_session282_alma_molecular_gas.py,UNCLASSIFIED,0,
_session282_newton_G_closure.py,COMPARISON_ONLY,4,L23: codata-assign-only: hbar      = 1.054571817e-34   # J*s
_session283_finetune.py,COMPARISON_ONLY,0,"L33: codata-assign-only: 'tau' : dict(m_obs=1.77686e9*eV_to_kg, N_list=[18, 19],"
_session283_gw190425_bayesian.py,UNCLASSIFIED,0,
_session283_verify.py,COMPARISON_ONLY,0,L58: codata-assign-only: m_nu2_obs = 8.61e-3 * eV_to_kg
_session284_seesaw_MR.py,PRIMITIVE_ONLY,2,
_session284_snr_shock_velocity.py,UNCLASSIFIED,0,
_session285_CKM_closure.py,COMPARISON_ONLY,0,L35: codata-assign-only: lam_obs  = 0.22500  # PDG
_session285_p_vs_np_conjecture_tag.py,PRIMITIVE_ONLY,1,
_session286_PMNS_closure.py,COMPARISON_ONLY,1,L46: codata-assign-only: sin2_th13_obs  = 0.02203
_session286_tde_mass_rate.py,COMPARISON_ONLY,0,L49: codata-assign-only: G_SI       = 6.67430e-11        # m^3 kg^-1 s^-2
_session287_proton_radius_higgs.py,COMPARISON_ONLY,0,L31: codata-assign-only: hbar = 1.054571817e-34       # J*s
_session287_rho_vac_scm_derivation_chain.py,UNCLASSIFIED,0,
_session288_gauge_couplings.py,COMPARISON_ONLY,1,L44: codata-assign-only: alpha_EM_inv_obs = 137.035999084     # low-energy fine-structure constant
_session288_universal_buoyancy_simultaneous_solver.py,COMPARISON_ONLY,0,L63: codata-assign-only: G_SI         = 6.6743e-11           # m^3 / (kg s^2)
_session289_cosmology.py,COMPARISON_ONLY,0,L29: codata-assign-only: hbar    = 1.054571817e-34
_session289_dpm_foundational_kernel.py,COMPARISON_ONLY,0,L90: codata-assign-only: G_SI       = 6.6743e-11           # m^3 / (kg s^2)         CODATA
_session290_dark_sector_inflation.py,COMPARISON_ONLY,0,L38: codata-assign-only: Omega_DM_h2_obs = 0.1200      # Planck 2018 +/- 0.0012
_session290_field_generator_lab_plasma_validation.py,UNCLASSIFIED,0,
_session291_muon_g2.py,COMPARISON_ONLY,0,L107: codata-assign-only: a_mu_total_obs  = 116_592_061e-11
