script,classification,has_atoms_dict,has_search_def,has_search_call,has_candidates_dict,has_best_pick,has_closure_output,codata_count,obs_assign_count,structural_score,obs_in_pred
_session201_closures.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,4,False
_session202_closures.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,5,False
_session203_closures.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,1,False
_session204_closures.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,2,False
_session205_closures.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,2,1,False
_session206_qcalcgeom_ubs_closures.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,1,1,False
_session207_cp_chain_closures.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session208_wolfram_kb_primitives.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session209_nuclear_resonance_primitives.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,1,False
_session210_closures.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,1,False
_session211_closures.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,1,False
_session261_audit.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session261_closures.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,1,0,0,False
_session262_closures.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,2,0,0,False
_session263_closures.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,9,0,0,False
_session264_closures.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,5,1,0,False
_session265_grok_rebuttals.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,4,0,0,False
_session266_root_closure.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,6,0,0,False
_session267_extended_closures.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session268_gap_closures.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,5,0,0,False
_session269_full_cascade.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,13,1,0,False
_session270_271_calibrated_and_open.py,PRIMITIVE_DERIVATION,False,False,False,True,False,True,10,0,0,False
_session272_forward_predictions.py,NO_CLOSURE_OUTPUT,False,False,False,True,True,False,43,1,0,False
_session273_lambda_hierarchy.py,PRIMITIVE_DERIVATION,False,False,False,True,False,True,6,1,0,False
_session274_beta_lambda_closure.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,4,1,0,False
_session275_mp_planck_closure.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,7,3,0,False
_session276_chandrasekhar_closure.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,3,1,0,False
_session277_beta_i_hunt.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session277_uqff_gap_patches.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,1,0,0,False
_session278_dpm_layer_counter.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session278_me_closure.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,4,2,0,False
_session279_mu_tau_closure.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,3,0,0,False
_session279_um_heaviside_amplifier.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session280_286_frontier_harvester.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session280_ftrz_suppression.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session280_quark_closure.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session280_verify.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session281_neutrino_hunt.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session281_verify.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session282_alma_molecular_gas.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session282_newton_G_closure.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,2,2,0,False
_session283_finetune.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session283_gw190425_bayesian.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session283_verify.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,0,1,0,False
_session284_seesaw_MR.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session284_snr_shock_velocity.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session285_CKM_closure.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,0,6,0,False
_session285_p_vs_np_conjecture_tag.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session286_PMNS_closure.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,0,3,0,False
_session286_tde_mass_rate.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,4,0,0,False
_session287_proton_radius_higgs.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,12,1,0,False
_session287_rho_vac_scm_derivation_chain.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session288_gauge_couplings.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,9,4,0,False
_session288_universal_buoyancy_simultaneous_solver.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,3,0,0,False
_session289_cosmology.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,1,3,0,False
_session289_dpm_foundational_kernel.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,7,0,0,False
_session290_dark_sector_inflation.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,0,5,0,False
_session290_field_generator_lab_plasma_validation.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session291_muon_g2.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,3,1,0,False
_session291_orion_h2o_ice_formation_rate.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session292_chandra_flux_to_param.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
