# Q-scope THz Earth-core hole observational dataset
# Experiment: Self-constructed q-scope, ACE/DCE magnetic circuit, point "B" emission,
#             core magnetic-chord ping, inductive U_m array capture
# Date:       2025-10-03 (image timestamps 16:39:35 -> 16:46:00, ~385 s span)
# Source:     IMG_20231003_HHMMSS.jpg series (Signals 1-30, three consecutive batches)
# Resonance:  Carrier 1.246 THz (in 1.2-1.3 THz catalog q-scope band)
# Schema:     observational time series; consumed by uqff_pure_calculator
#             helpers F_QSCOPE_MEASURED_HZ, _qscope_measured_in_band,
#             _oscilloscope_power_W (P = V^2 / Z, Z = 50 ohm).
# Notes:      Voltages are peak amplitudes per channel (500 mV/div).
#             P_ch1_W, P_ch2_W = V_peak^2 / 50 ohm (instantaneous load power).
#             shape codes: sharp_sinusoid, flat_sinusoid, sharper_peaks,
#                          broader_peaks, complex_secondary_peaks, chaotic,
#                          inverted_sinusoid, stable_sinusoid
signal_id,image_filename,timestamp_utc_offset_m4,t_seconds_relative,batch,time_per_div_ns,volt_per_div_mV,f_carrier_THz,V_ch1_peak_V,V_ch2_peak_V,P_ch1_W,P_ch2_W,ch1_shape,ch2_shape,flow_state
1,IMG_20231003_163935.jpg,2023-10-03T16:39:35,0,1,200,500,1.246,0.80,0.20,0.012800,0.000800,sharp_sinusoid,flat_sinusoid,initial
2,IMG_20231003_163950.jpg,2023-10-03T16:39:50,15,1,200,500,1.246,0.75,0.30,0.011250,0.001800,sharp_sinusoid,sharper_peaks,reversal_onset
3,IMG_20231003_164003.jpg,2023-10-03T16:40:03,28,1,200,500,1.246,0.70,0.40,0.009800,0.003200,broader_peaks,sharper_peaks,reversal_intensify
4,IMG_20231003_164017.jpg,2023-10-03T16:40:17,42,1,200,500,1.246,0.65,0.35,0.008450,0.002450,broader_peaks,complex_secondary_peaks,flow_shift
5,IMG_20231003_164029.jpg,2023-10-03T16:40:29,54,1,200,500,1.246,0.60,0.30,0.007200,0.001800,broader_peaks,chaotic,reversal_strong
6,IMG_20231003_164043.jpg,2023-10-03T16:40:43,68,1,200,500,1.246,0.60,0.35,0.007200,0.002450,broader_peaks,inverted_sinusoid,full_reversal_cycle
7,IMG_20231003_164057.jpg,2023-10-03T16:40:57,82,1,200,500,1.246,0.70,0.40,0.009800,0.003200,sharper_peaks,sharper_peaks,new_pattern
8,IMG_20231003_164111.jpg,2023-10-03T16:41:11,96,1,200,500,1.246,0.65,0.35,0.008450,0.002450,broader_peaks,complex_secondary_peaks,flow_shift
9,IMG_20231003_164124.jpg,2023-10-03T16:41:24,109,1,200,500,1.246,0.60,0.30,0.007200,0.001800,broader_peaks,chaotic,reversal_strong
10,IMG_20231003_164139.jpg,2023-10-03T16:41:39,124,1,200,500,1.246,0.60,0.35,0.007200,0.002450,stable_sinusoid,inverted_sinusoid,reversal_cycle_complete
11,IMG_20231003_164153.jpg,2023-10-03T16:41:53,138,2,200,500,1.246,0.60,0.35,0.007200,0.002450,stable_sinusoid,stable_sinusoid,initial_stable
12,IMG_20231003_164206.jpg,2023-10-03T16:42:06,151,2,200,500,1.246,0.65,0.40,0.008450,0.003200,sharper_peaks,sharper_peaks,reversal_onset
13,IMG_20231003_164219.jpg,2023-10-03T16:42:19,164,2,200,500,1.246,0.60,0.35,0.007200,0.002450,broader_peaks,complex_secondary_peaks,complex_dynamics
14,IMG_20231003_164232.jpg,2023-10-03T16:42:32,177,2,200,500,1.246,0.55,0.30,0.006050,0.001800,broader_peaks,chaotic,reversal_strong
15,IMG_20231003_164245.jpg,2023-10-03T16:42:45,190,2,200,500,1.246,0.50,0.35,0.005000,0.002450,stable_sinusoid,inverted_sinusoid,full_reversal_cycle
16,IMG_20231003_164258.jpg,2023-10-03T16:42:58,203,2,200,500,1.246,0.60,0.40,0.007200,0.003200,sharper_peaks,inverted_sinusoid,new_pattern_inverted
17,IMG_20231003_164311.jpg,2023-10-03T16:43:11,216,2,200,500,1.246,0.55,0.35,0.006050,0.002450,broader_peaks,complex_secondary_peaks,flow_shift
18,IMG_20231003_164324.jpg,2023-10-03T16:43:24,229,2,200,500,1.246,0.50,0.30,0.005000,0.001800,stable_sinusoid,chaotic,reversal_strong
19,IMG_20231003_164337.jpg,2023-10-03T16:43:37,242,2,200,500,1.246,0.50,0.35,0.005000,0.002450,stable_sinusoid,inverted_sinusoid,reversal_cycle_complete
20,IMG_20231003_164350.jpg,2023-10-03T16:43:50,255,2,200,500,1.246,0.50,0.35,0.005000,0.002450,stable_sinusoid,stable_sinusoid,stabilized
21,IMG_20231003_164403.jpg,2023-10-03T16:44:03,268,3,200,500,1.246,0.60,0.35,0.007200,0.002450,sharp_sinusoid,stable_sinusoid,initial_stable
22,IMG_20231003_164416.jpg,2023-10-03T16:44:16,281,3,200,500,1.246,0.65,0.40,0.008450,0.003200,sharp_sinusoid,sharper_peaks,reversal_onset
