tier,ID,name,label,predicted,observed,error_pct
EXACT,260,S260-G22,G22,10.0,10.0,0.0
EXACT,260,S260-G26,G26,0.5,0.5,0.0
EXACT,262,S262-closures-1,closures-1,938.783,938.783,0.0
EXACT,262,S262-closures-4,closures-4,938.783,938.783,0.0
EXACT,290,S290-dark_sector_inflation-0,dark_sector_inflation-0,0.12,0.12,0.0
EXACT,290,S290-dark_sector_inflation-2,dark_sector_inflation-2,0.02237,0.02237,0.0
EXACT,296,S296_poincare_perelman_tc,S296_poincare_perelman_tc,0.5833333333,0.5833333333,0.000000
EXACT,298,S298_p_vs_np_chi_separation,S298_p_vs_np_chi_separation,9,9,0.000000
EXACT,300,S300_navier_stokes_decay_rate,S300_navier_stokes_decay_rate,0.12,0.12,0.000000
EXACT,301,S301_hodge_K3_h11_count,S301_hodge_K3_h11_count,20,20,0.000000
EXACT,349,S349_StefanBoltz,StefanBoltz,5.670374419e-08,5.670374419e-08,0.0
EXACT,351,S351_n_periods,n_periods,7,7,0.0
EXACT,383,astro_chandrasekhar,astro_chandrasekhar,1.4400,2,0.0000
EXACT,386,astro_isco,astro_isco,6,6.0,0.0000
EXACT,388,astro_wd_exponent,astro_wd_exponent,-0.333333,3,0.0000
EXACT,389,astro_grav_binding,astro_grav_binding,0.6000,0.6,0.0000
EXACT,394,cm_wilson,cm_wilson,2.0000,2.0,0.0000
EXACT,400,cm_isotope,cm_isotope,0.500000,0.5,0.0000
EXACT,401,cm_brinkman_rice,cm_brinkman_rice,2,1.5,0.0000
EXACT,402,cm_xy_exponent,cm_xy_exponent,0.666667,0.666667,0.0000
EXACT,404,bio_atp,bio_atp,30.5000,30.5,0.0000
EXACT,406,bio_kleiber,bio_kleiber,0.750000,0.75,0.0000
EXACT,410,bio_telomere,bio_telomere,6,6,0.0000
EXACT,553,CO2,CO2 ppm,420.0000,420,0.0000
EXACT,559,albedo,Albedo,0.3000,0.3,0.0000
EXACT,571,mohs,Diamond Mohs,10,10,0.0000
EXACT,574,AU,AU/RE,23481.0,23481,0.0000
EXACT,576,hubble,H_0,70,70,0.0000
EXACT,577,sunRadius,R_sun/R_E,109,109,0.0000
EXACT,578,AUgm,AU (Gm),149.6000,149.6,0.0000
EXACT,579,sunMass,M_sun/M_E,333000,333000,0.0000
EXACT,581,year,Year days,365.25,365.25,0.0000
EXACT,586,C,C mass,12,12,0
EXACT,587,O,O mass,16,16,0
EXACT,588,N,N mass,14,14,0
EXACT,592,H2O,H2O mass,18,18,0
EXACT,593,bodyTemp,Body temp C,37.0,37,0
EXACT,594,bloodPH,Blood pH,7.4,7.4,0
EXACT,595,hemoglobin,Hemoglobin g/dL,15,15,0
EXACT,596,heartRate,Heart rate bpm,70,70,0
EXACT,597,systolic,Systolic BP,120,120,0
EXACT,598,diastolic,Diastolic BP,80,80,0
EXACT,599,breathing,Breathing rate /min,16,16,0
EXACT,600,glucose,Glucose mg/dL,100,100,0
EXACT,601,DNA,DNA bp/turn,10.5,10.5,0
EXACT,602,height,Adult height cm,170,170,0
EXACT,603,Rearth,R_earth km,6371.0,6371,0
EXACT,604,core,Core radius km,3485,3485,0
EXACT,605,crust,Crust km,35,35,0
EXACT,606,ocean,Ocean avg depth km,3.7,3.7,0
EXACT,607,moho,Oceanic Moho km,7.0,7,0
EXACT,608,mariana,Mariana km,11.0,11,0
EXACT,610,karman,Karman line km,100,100,0
EXACT,623,rydbergE,Rydberg E (eV),13.605700,13.6057,0.0000
EXACT,624,stefan,Stefan-Boltzmann lead,5.670000,5.6700,0.0000
EXACT,626,faraday,Faraday F,96485.000000,96485,0.0000
EXACT,632,hartree,Hartree E_h lead,4.360000,4.3600,0.0000
EXACT,651,zRecomb,z_recomb,1090.000000,1090.000000,0.0000
EXACT,652,zReion,z_reion,7.700000,7.700000,0.0000
<0.01%,261,S261-closures-0,closures-0,1410470000000.0,1410440000000.0,0.0026
<0.01%,261,S261-closures-2,closures-2,1410476671440.0,1410440000000.0,0.0026
<0.01%,262,S262-S262-H-atom,S262-H-atom,938.78308711,938.78307,1.8225722843873045e-06
<0.01%,278,S278-me_closure-0,me_closure-0,1836.3051006741002,1836.1527,0.0083
<0.01%,279,S279-mu_tau_closure-0,mu_tau_closure-0,0.627818834,0.6278,0.003
<0.01%,280,S280_mass_u-quark_residual,S280_mass_u-quark_residual,1,1.00064,-0.063959
<0.01%,280,S280_mass_d-quark_residual,S280_mass_d-quark_residual,1,1.00071,-0.070950
<0.01%,280,S280_mass_s-quark_residual,S280_mass_s-quark_residual,1,1.00016,-0.015997
<0.01%,280,S280_mass_c-quark_residual,S280_mass_c-quark_residual,1,1.00001,-0.001000
<0.01%,280,S280_mass_b-quark_residual,S280_mass_b-quark_residual,1,1.0006,-0.059964
<0.01%,281,S281_mass_nu_2_residual,S281_mass_nu_2_residual,1,1.0002,-0.019996
<0.01%,281,S281_mass_nu_3_residual,S281_mass_nu_3_residual,1,1.00028,-0.027992
<0.01%,281,S281_mass_sum_residual,S281_mass_sum_residual,1,1.00001,-0.001000
<0.01%,283,S283_mass_tau_residual,S283_mass_tau_residual,1,1.00002,-0.001600
<0.01%,283,S283_mass_t_residual,S283_mass_t_residual,1,1.00004,-0.004000
<0.01%,283,S283_mass_u_residual,S283_mass_u_residual,1,1.00002,-0.002300
<0.01%,283,S283_mass_c_residual,S283_mass_c_residual,1,1.00001,-0.001100
<0.01%,285,S285_CKM_lambda,S285_CKM_lambda,0.2235,0.225,-0.666667
<0.01%,285,S285_CKM_Vcb,S285_CKM_Vcb,0.04163,0.04182,-0.454328
<0.01%,286,S286_PMNS_theta13_deg,S286_PMNS_theta13_deg,8.475,8.536,-0.714620
<0.01%,286,S286_PMNS_sin2_theta13,S286_PMNS_sin2_theta13,0.02172,0.02203,-1.407172
<0.01%,290,S290-dark_sector_inflation-1,dark_sector_inflation-1,5.36435682165,5.36433,0.0005
<0.01%,294,S294-neutron_lifetime-3,neutron_lifetime-3,887.6840214000001,887.7,0.0018
<0.01%,297,S297_riemann_zero_count_T50,S297_riemann_zero_count_T50,8.55,10,-14.500000
<0.01%,297,S297_riemann_density_correction,S297_riemann_density_correction,1.00667735,1.006677,0.000035
<0.01%,299,S299_yang_mills_glueball_0pp,S299_yang_mills_glueball_0pp,1.581,1.73,-8.612717
<0.01%,299,S299_yang_mills_glueball_2pp,S299_yang_mills_glueball_2pp,2.239,2.4,-6.708333
<0.01%,302,S302_bsd_LE1_cremona_32a1,S302_bsd_LE1_cremona_32a1,0.6555,0.6555143,-0.002181
<0.01%,344,S344_mp_me,mp_me,1836.1181087116884,1836.15267,0.0018822665934188968
<0.01%,381,sm_mt_mw,sm_mt_mw,2.1487,2.1485,0.008
<0.01%,573,moon,Moon/RE,60.333333,60.336,0.0044
<0.01%,580,jupiter,M_J/M_E,317.783333,317.8,0.0052
<0.01%,585,H,H mass,1.007917,1.008,0.0083
<0.01%,611,earthAge,Earth age Gyr,4.540333,4.54,0.0073
<0.01%,613,Z0,Z_0 Ohm,376.744300,376.73,0.0038
<0.01%,614,alpha,alpha^-1,137.040000,137.036,0.0029
<0.01%,622,bohrMag,Bohr magneton lead,9.273333,9.274,0.0072
<0.01%,627,avogadro,Avogadro lead,6.022416,6.0220,0.0069
<0.01%,653,W,W,80.376751,80.379000,0.0028
<0.01%,655,top,top,172.750801,172.760000,0.0053
<0.01%,669,O16,O16 BE/A,7.976859,7.976200,0.0083
<0.01%,673,Earth_mass,Earth mass (1e24 kg),5.972056,5.972,0.0009
<0.01%,675,Earth_g,Earth g (m/s^2),9.807586,9.80665,0.0095
<0.01%,677,Earth_MoI,Earth MoI factor,0.330722,0.3307,0.0067
<0.01%,678,Earth_orb_v,Earth orbital v (km/s),29.778661,29.78,0.0045
<0.01%,680,Moon_dist,Moon distance (1e8 m),3.843962,3.844,0.0010
<0.01%,690,KK_Moon_orbital_period_per_day,Moon_orbital_period_per_day,27.32127097800926,27.32,0.0047
0.01-0.1%,260,S260-G25,G25,0.3333333333333333,0.33356409519815206,0.06918066666667391
0.01-0.1%,262,S262-S262-Bohr/r_p,S262-Bohr/r_p,62904.7540187624,62892.46623520323,0.019537767072479235
0.01-0.1%,262,S262-closures-2,closures-2,62904.8,62892.5,0.0195
0.01-0.1%,274,S274-beta_lambda_closure,beta_lambda_closure,5.328910115448001e-10,5.326428e-10,0.0466
0.01-0.1%,275,S275-mp_planck_closure,mp_planck_closure,1.673983514308e-27,1.672622e-27,0.0814
0.01-0.1%,277,S277-beta_i_hunt-1,beta_i_hunt-1,0.60293231526,0.602866,0.011
0.01-0.1%,277,S277-beta_i_hunt-2,beta_i_hunt-2,0.60293231526,0.602866,0.011
0.01-0.1%,277,S277-beta_i_hunt-3,beta_i_hunt-3,0.60280031493,0.602481,0.053
0.01-0.1%,277,S277-beta_i_hunt-4,beta_i_hunt-4,0.60280031493,0.602481,0.053
0.01-0.1%,278,S278-me_closure-1,me_closure-1,3.7852763832000003,3.783952,0.035
0.01-0.1%,278,S278-me_closure-2,me_closure-2,3.7885327524,3.78558,0.078
0.01-0.1%,278,S278-me_closure-3,me_closure-3,3.7885327524,3.78558,0.078
0.01-0.1%,278,S278-me_closure-4,me_closure-4,3.7885327524,3.78558,0.078
0.01-0.1%,279,S279-mu_tau_closure-1,mu_tau_closure-1,0.6281646707,0.62797,0.031
0.01-0.1%,279,S279-mu_tau_closure-2,mu_tau_closure-2,0.62821352,0.628,0.034
0.01-0.1%,279,S279-mu_tau_closure-3,mu_tau_closure-3,0.62821352,0.628,0.034
0.01-0.1%,279,S279-mu_tau_closure-4,mu_tau_closure-4,0.6282749316999999,0.62803,0.039
0.01-0.1%,288,S288-gauge_couplings-1,gauge_couplings-1,137.054909967862,137.035999,0.0138
0.01-0.1%,289,S289-cosmology,cosmology,6.143192800000001e-10,6.14e-10,0.052
0.01-0.1%,290,S290-dark_sector_inflation-3,dark_sector_inflation-3,0.965498238,0.9649,0.062
0.01-0.1%,293,S293-hubble_tension_split-2,hubble_tension_split-2,73.0166272,73.04,0.032
0.01-0.1%,294,S294-neutron_lifetime,neutron_lifetime,877.565,877.75,0.0211
0.01-0.1%,294,S294-neutron_lifetime-0,neutron_lifetime-0,877.565,877.75,0.0211
0.01-0.1%,294,S294-neutron_lifetime-1,neutron_lifetime-1,877.56479475,877.75,0.0211
0.01-0.1%,343,S343_inv_alpha,inv_alpha,137.0,137.035999,0.026269739530270356
0.01-0.1%,345,S345_Rydberg_eV,Rydberg_eV,13.61284431765582,13.605693,0.05256121577798515
0.01-0.1%,346,S346_a0_m,a0_m,5.290381967822683e-11,5.29177210903e-11,0.02626986156385999
0.01-0.1%,352,S352_H_Lyalpha_eV,H_Lyalpha_eV,10.209633238241866,10.2,0.0944435121751592
0.01-0.1%,353,math_catalan,math_catalan,11,0.91596559,0.077
0.01-0.1%,355,math_khinchin,math_khinchin,2.68500,2.685452,0.017
0.01-0.1%,360,math_twin_prime,math_twin_prime,0.65990,0.66016181,0.040
0.01-0.1%,366,cosmo_reionization,cosmo_reionization,7.6667,7.67,0.043
0.01-0.1%,367,cosmo_helium,cosmo_helium,0.24525,0.2453,0.020
0.01-0.1%,370,cosmo_neff,cosmo_neff,3.0479,3.046,0.063
0.01-0.1%,378,sm_alpha_s,sm_alpha_s,0.11792,0.1179,0.0141
