S285_CKM_lambda :: predicted=0.2235 observed=0.225 error_pct=-0.666667
S285_CKM_Vcb :: predicted=0.04163 observed=0.04182 error_pct=-0.454328
S285_CKM_rho_bar :: predicted=0.16 observed=0.156 error_pct=2.564103
S286_PMNS_theta13_deg :: predicted=8.475 observed=8.536 error_pct=-0.714620
S286_PMNS_sin2_theta13 :: predicted=0.02172 observed=0.02203 error_pct=-1.407172
S286_PMNS_sin2_theta12 :: predicted=0.3203 observed=0.307 error_pct=4.332248
S280_mass_u-quark_residual :: predicted=1 observed=1.00064 error_pct=-0.063959
S280_mass_d-quark_residual :: predicted=1 observed=1.00071 error_pct=-0.070950
S280_mass_s-quark_residual :: predicted=1 observed=1.00016 error_pct=-0.015997
S280_mass_c-quark_residual :: predicted=1 observed=1.00001 error_pct=-0.001000
S280_mass_b-quark_residual :: predicted=1 observed=1.0006 error_pct=-0.059964
S281_mass_nu_2_residual :: predicted=1 observed=1.0002 error_pct=-0.019996
S281_mass_nu_3_residual :: predicted=1 observed=1.00028 error_pct=-0.027992
S281_mass_sum_residual :: predicted=1 observed=1.00001 error_pct=-0.001000
S283_mass_tau_residual :: predicted=1 observed=1.00002 error_pct=-0.001600
S283_mass_t_residual :: predicted=1 observed=1.00004 error_pct=-0.004000
S283_mass_u_residual :: predicted=1 observed=1.00002 error_pct=-0.002300
S283_mass_c_residual :: predicted=1 observed=1.00001 error_pct=-0.001100
