row_index,csv_closure,dispatch_observable,geometry_used,assimilation_status,match_method
88,,hubble_tension,d26,EXACT,name_substring
152,,alpha_inverse,d26,OK,script_only
153,,mp_me_ratio,bsfg,OK,script_only
156,,weinberg_sin2,dpm,OK,script_only
157,,alpha_s_M_Z,dpm,OK,script+name
158,,stefan_boltzmann_prefactor,dpm,EXACT,script_only
160,,periodic_table_periods,bsfg,EXACT,script_only
173,,LCDM_BAO_rd_H0_over_c_OPEN,d26,TENSION,script_only
182,,SM_delta_CP,dpm,OK,name_substring
200,,astro_NS_compactness,qcalcgeom,OK,name_substring
557,,alpha_inverse,d26,OK,name_substring
559,,alpha_inverse,d26,OK,name_substring
561,,alpha_inverse,d26,OK,name_substring
563,,alpha_inverse,d26,OK,name_substring
565,,alpha_inverse,d26,OK,name_substring
567,,alpha_inverse,d26,OK,name_substring
569,,alpha_inverse,d26,OK,name_substring
829,Hubble_tension_S787_ratio,hubble_tension,d26,EXACT,name_substring
1164,PAPER_309_sn_ia_hubble_tension_gravitational_imprint,hubble_tension,d26,EXACT,name_substring
1949,PAPER_1549__alpha_inverse_137_036,alpha_inverse,d26,OK,name_substring
2198,PAPER_1636__higgs_vev_246_gev,higgs_vev,dpm,EXACT,name_substring
2200,PAPER_1650__bh_seed_mass_56160_msun,BH_seed_mass,d26,EXACT,name_substring
2201,PAPER_1652__pop_iii_imf_max_120,Pop_III_IMF_max,dpm,EXACT,name_substring
2202,PAPER_1655__quantum_supremacy_qubits_60,quantum_supremacy_qubits,dpm,EXACT,name_substring
2205,PAPER_1676__hubble_tension_5_6,hubble_tension,d26,EXACT,name_substring
2207,PAPER_1696__omega_lambda_6_5_ssq,omega_lambda_6_5_SSQ,dpm,EXACT,name_substring
2211,PAPER_1736__n_s_scalar_tilt_0_96468,n_s_scalar_tilt,d26,EXACT,name_substring
2212,PAPER_1746__surface_code_threshold_1_pct,surface_code_threshold,d26,EXACT,name_substring
2213,PAPER_1756__flat_rotation_beta_i_6029,flat_rotation_beta_i,qcalcgeom,EXACT,name_substring
2214,PAPER_1766__gw_memory_fraction_6_pct,GW_memory_fraction,qcalcgeom,EXACT,name_substring
2215,PAPER_1776__bertrand_uniform_p_1_4,bertrand_uniform,d26,EXACT,name_substring
