closure_key,schema,primary_source,description,target_value,uqff_value,residual_pct,status_tier,error
100_s_ledger_scaling,recent_session_2026_06,PAPER_1254_100_s_ledger_scaling_integer_primitive_identity,Canonical 100 s δτ ledger scaling,100.0,100.0,0.0,EXACT (canonical anchor),
26_level_energy_ladder,legacy_freeform,E_n_polynomial_hierarchy_F_Aetheric_Propulsion_Millenium_Equation_Proofs_18April2025_via_E_0_x_10_pow_n_at_E_0_eq_1e_minus_20_J_PAPER_1466_PAPER_062,,,,,,
abc,legacy_freeform,abc_via_26_factorial_radical_bound_plus_F_TRZ_epsilon_PAPER_1160,,,,,,
abiogenesis,legacy_freeform,Origin_of_life_via_F_U_eq_1_normalization_plus_low_entropy_SCm_UA_seed_x_S_26_chain_PAPER_646,,,,,,
achilles_tortoise,legacy_freeform,Zeno_classical_paradox_resolved_via_geometric_series_convergence_PAPER_1203_default,,,,,,
action_principle,legacy_freeform,Action_principle_delta_S_eq_0_via_UQFF_master_Lagrangian_PAPER_1066,,,,,,
active_matter,legacy_freeform,Active_matter_PAPER_1356_via_beta_i_x_Phi_res_Toner_Tu,,,,,,
ads_cft_extension,legacy_freeform,AdS_to_dS_via_inverted_K_Mex_Mexican_hat_negative_region_PAPER_034,,,,,,
ads_to_ds,legacy_freeform,AdS_to_dS_via_inverted_K_Mex_Mexican_hat_negative_region_PAPER_034,,,,,,
adult_height_170_cm,recent_session_2026_06,PAPER_1209BB_S602_adult_height_170_cm_integer_primitive_identity,Average adult human height cm,170,170,0.0,EXACT,
aether_superfluid,legacy_freeform,Aether_superfluid_dynamics_PAPER_679_via_rho_UA_eq_10_x_rho_SCm_DPM_two_fluid_canonical,,,,,,
aether_superfluid_dynamics,legacy_freeform,Aether_superfluid_dynamics_PAPER_679_via_rho_UA_eq_10_x_rho_SCm_DPM_two_fluid_canonical,,,,,,
aging_clock,legacy_freeform,Aging_telomere_PAPER_1363_Hayflick_eq_A_5_eq_60_EXACT,,,,,,
aharonov_bohm,legacy_freeform,Aharonov_Bohm_geometric_phase_from_spinor_bundle_holonomy_in_UQFF_PAPER_1382,,,,,,
