"FileName","FileNumber","SizeKB","Lines","Constants","Particles","Frequencies","Masses","TotalExtractable","Priority"
"source1.cpp","1","45.31","1115","0","0","0","0","0","LOW"
"source2.cpp","2","101.35","2183","0","0","0","0","0","LOW"
"source3.cpp","3","44.88","1108","0","0","0","0","0","LOW"
"source4.cpp","4","59.32","1782","7","0","0","0","7","LOW"
"Source5.cpp","5","51.59","1559","15","0","0","0","15","MEDIUM"
"Source6.cpp","6","571.76","2137","14","0","0","0","14","MEDIUM"
"source7.cpp","7","83.02","2305","16","0","0","0","16","MEDIUM"
"source8.cpp","8","54.26","1333","0","0","0","2","2","LOW"
"source9.cpp","9","13.16","425","4","0","0","0","4","LOW"
"source10.cpp","10","273.22","3430","67","17","5","0","89","HIGH"
"source11.cpp","11","20.89","533","7","0","0","0","7","LOW"
"source12.cpp","12","91.05","2124","0","0","0","2","2","LOW"
"source13.cpp","13","17.94","554","0","1","0","2","3","LOW"
"source14.cpp","14","20.31","607","0","1","0","2","3","LOW"
"source15.cpp","15","20.42","607","0","0","0","0","0","LOW"
"source16.cpp","16","20.75","607","0","1","0","2","3","LOW"
"source17.cpp","17","20.51","604","0","1","0","2","3","LOW"
"source18.cpp","18","21.37","630","0","1","0","2","3","LOW"
"source19.cpp","19","20.48","597","0","1","0","2","3","LOW"
"source20.cpp","20","20.57","614","0","1","0","2","3","LOW"
"source21.cpp","21","21.21","632","0","1","0","2","3","LOW"
"source22.cpp","22","20.23","603","0","1","0","2","3","LOW"
"source23.cpp","23","21.69","640","0","1","0","2","3","LOW"
"source24.cpp","24","20.32","603","0","1","0","2","3","LOW"
"source25.cpp","25","21.73","650","0","1","0","2","3","LOW"
"source26.cpp","26","21.57","639","0","1","0","2","3","LOW"
"source27.cpp","27","20.82","614","0","1","0","2","3","LOW"
"source28.cpp","28","20.12","444","0","0","0","0","0","LOW"
"source29.cpp","29","21.02","459","0","0","0","0","0","LOW"
"source30.cpp","30","20.66","459","0","0","0","0","0","LOW"
"source31.cpp","31","21.15","443","0","0","0","0","0","LOW"
"source32.cpp","32","21.38","444","0","0","0","0","0","LOW"
"source33.cpp","33","20.3","418","0","0","0","0","0","LOW"
"source34.cpp","34","20.98","424","0","0","0","0","0","LOW"
"source35.cpp","35","19.65","409","0","0","0","0","0","LOW"
"source36.cpp","36","19.79","409","0","0","0","0","0","LOW"
"source37.cpp","37","19.34","386","0","0","0","0","0","LOW"
"source38.cpp","38","17.59","350","0","0","0","0","0","LOW"
"source39.cpp","39","20.43","406","0","0","0","0","0","LOW"
"source40.cpp","40","18.25","351","0","0","0","0","0","LOW"
"source41.cpp","41","19.34","434","0","2","0","0","2","LOW"
"source42.cpp","42","19.22","407","0","2","0","0","2","LOW"
"source43.cpp","43","19.76","386","0","0","0","0","0","LOW"
"source44.cpp","44","20.11","439","0","0","0","0","0","LOW"
"source45.cpp","45","20.58","439","0","0","0","0","0","LOW"
"source46.cpp","46","19.33","422","0","0","0","0","0","LOW"
"source47.cpp","47","21.57","423","0","0","0","0","0","LOW"
"source48.cpp","48","21.36","485","0","0","0","1","1","LOW"
"source49.cpp","49","26.7","583","0","0","0","0","0","LOW"
"source50.cpp","50","21.59","454","27","0","0","0","27","MEDIUM"
"source52.cpp","52","18.91","463","0","0","0","0","0","LOW"
"source54.cpp","54","20.82","479","0","0","0","1","1","LOW"
"source56.cpp","56","21.14","498","0","0","0","0","0","LOW"
"source57.cpp","57","21.82","540","0","0","0","0","0","LOW"
"source60.cpp","60","27.5","690","0","0","0","0","0","LOW"
"source64.cpp","64","17.46","469","0","0","0","0","0","LOW"
"source65.cpp","65","20.7","512","0","3","0","0","3","LOW"
"source66.cpp","66","19.3","515","0","8","0","0","8","LOW"
"source67.cpp","67","20.65","499","0","1","0","0","1","LOW"
"source68.cpp","68","15.74","419","0","0","0","0","0","LOW"
"source69.cpp","69","20.21","505","0","0","0","0","0","LOW"
"source70.cpp","70","19.74","509","0","0","0","0","0","LOW"
"source71.cpp","71","20.09","506","0","0","0","0","0","LOW"
"source72.cpp","72","13.91","325","0","0","0","0","0","LOW"
"source73.cpp","73","20.31","481","0","0","0","0","0","LOW"
"source74.cpp","74","18.22","391","0","0","0","0","0","LOW"
"source76.cpp","76","20.24","478","0","0","0","0","0","LOW"
"source77.cpp","77","20.48","479","0","0","0","0","0","LOW"
"source78.cpp","78","21.75","504","0","0","0","0","0","LOW"
